,deleted_duplicate_smiles_0
7296,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
2821,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
4613,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
5642,[O-][N+](=O)C1=C2C=CC=CC2=CC2=CC=CC=C12
7181,[Na+].CC1=CC=C(C(C)=C1)S([O-])(=O)=O
4113,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C
4639,Cl.COC1=CC(C)=C(OC)C=C1C[C@H](C)N
2471,CCCCCCCCC1=CC=C(O)C=C1
1458,OC1=CC=CC(=C1)C(=O)C1=CC=CC=C1
5432,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
5306,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
7610,C1=CC2=CC=CC=C2C=C1
7356,[O-][N+](=O)C1=C2C=CC=CC2=CC=C1
3137,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
6081,OCC(O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
2638,CCCCCCCC1=CC=C(O)C=C1
2789,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
5358,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
4976,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
7024,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
6390,CC(C)C(NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
