,deleted_duplicate_smiles_0
2560,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
6665,CCCCCCCCC=C
6795,CC1=CC(C)=C(C=C1)[N+]([O-])=O
524,BrC1=CC=CC=C1
4500,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
2590,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
798,CCCCCCCCCCCCCCCCC=C
6816,CC1=C2C=CC=CC2=CC=C1
5028,O.O.[Zn++].CC([O-])=O.CC([O-])=O
2871,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
6585,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
4795,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
6859,C1=CC2=C(C=C1)N=CC=N2
6860,C1=CC2=CC=CC=C2C=C1
721,CCCCCCCCCCCCC=C
6098,[Cl-].[Cl-].[Zn++]
6875,CC1=CC2=CC=CC=C2C=C1
5980,[Cl-].[Cl-].[Cu++]
4837,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
4198,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
5992,[Cl-].[Cl-].[Hg++]
2793,CCCCCCCCCCCC=C
7274,CC1=CC=C(C=C1C)[N+]([O-])=O
6513,CC1=CC=CC(=C1C)[N+]([O-])=O
5363,CCCCCCCCCCCCCCC=C
761,CCCCCCCCCCC=C
6779,CC1=CC(=C(C)C=C1)[N+]([O-])=O
