,deleted_duplicate_smiles_0
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
3086,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
4113,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C
5651,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O
5684,[O-][N+](=O)C1=CC2=CC=CC=C2C(=C1)[N+]([O-])=O
4158,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
4203,CCCC[N+](C)(CCCC)CCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
6765,[Cl-].[Cl-].[Zn++]
5231,[Zn++].CC([O-])=O.CC([O-])=O
4227,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
7825,ClC1=C(Cl)C=CC=C1
3733,[Br-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC
5785,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
6811,[Cl-].[Cl-].[Cl-].[Fe+3]
6816,[Cl-].[Cl-].[Ni++]
5281,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@H]12
5291,[Cl-].CCCC[N+](C)(CCCC)CCCC
7860,ClC1=CC(Cl)=C(Cl)C=C1Cl
4279,CCCCCC=CCC1CC(=O)OC1=O
6850,[Cl-].[Cl-].[Fe++]
1219,O=C(OCC=CC1=CC=CC=C1)C=CC1=CC=CC=C1
3788,CCCCCCCCCC(O)=O
6352,CC(C)=CCCC(C)=CCCC(C)=O
5339,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C
5340,CCCCCCCCCCCCCCCC(O)=O
5341,CCCCCCCCCCCCCCCCCC(O)=O
5851,[Cl-].CCCCCC[N+]1=CC=CC=C1
7398,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
4337,CC1=CC=CC(NC2=NC=CC=C2C(O)=O)=C1C
7412,ClC1=CC=CC(Cl)=C1Cl
758,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C
1788,[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
1292,CCCCCCCC(O)=O
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
4900,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
4902,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
7466,CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
4397,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
2352,[Cl-].CCCCCCN1C=C[N+](C)=C1
2353,[Cl-].CCCCCCCCCCN1C=C[N+](C)=C1
5432,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
1872,CCCCCCCCCCCC(O)=O
5990,ClC1=CC(Cl)=C(Cl)C(Cl)=C1
4982,Cl.CC[C@H](O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
4474,OCCOCCOCCOCCOCCO
6523,CC(C)=CCCC(C)=CCCC(C)(O)C=C
7054,CO[C@@H]1CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@H]1OC
6033,CCCCCCCCCCCCC(O)=O
3503,OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
2998,[Br-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
6095,[Cl-].CCCCCCCCN1C=C[N+](C)=C1
5078,CCCCCCCCCCCCCC(O)=O
5597,Cl.CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC
7647,NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1
6628,[Br-].CCCCCC[N+]1=CC=CC=C1
6635,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
4596,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
4599,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
7160,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(OC(=O)CCC)C(=O)OCCCCCC
