,deleted_duplicate_smiles_0
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
4613,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
3086,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
6170,CCCCCCCCCCCCCCCCCCCCCCO
7712,OC1=C(Cl)C=CC(Cl)=C1Cl
7713,OC1=CC(Cl)=CC(Cl)=C1Cl
7727,OC1=C(Cl)C(Cl)=CC(Cl)=C1Cl
4145,CCCCCCC(CO)CCCC
3137,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
5715,OC1=CC(Cl)=C(Cl)C(Cl)=C1
4196,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
4197,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
3196,CC=C(C)C(=O)OCCC(C)CCC=C(C)C
7296,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
4227,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
7830,OC1=CC=CC=C1Cl
5785,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
7842,CC1=C(Cl)C=C(N)C=C1
7847,OC1=CC=C(Cl)C(Cl)=C1
7849,CC1=CC=C(Cl)C=C1N
4787,CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(=O)OC\C=C(/C)CCC=C(C)C
7861,OC1=C(Cl)C=C(Cl)C(Cl)=C1
5306,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
737,CCCCCCCCO
2789,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
5358,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
7923,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O
7925,OC1=CC=C(Cl)C=C1SC1=CC(Cl)=CC=C1O
7414,OC1=C(Cl)C=CC=C1Cl
7418,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
6912,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C
2821,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
5382,OC1=CC=CC(Cl)=C1Cl
782,CCCCCCCCCCO
7439,OC1=C(Cl)C=C(Cl)C=C1Cl
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
2836,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
800,CCCCCCCCCCCO
811,CCCCCCCCCCCCO
4397,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
2352,[Cl-].CCCCCCN1C=C[N+](C)=C1
2353,[Cl-].CCCCCCCCCCN1C=C[N+](C)=C1
823,CCCCCCCCCCCCCO
825,CCCCCCCCCCCCCCO
314,CCCCC(CC)CO
5952,CCCCCCCCCCCCCCCO
838,CCCCCCCCCCCCCCCCCCO
5447,OC1=CC(Cl)=CC=C1Cl
4943,CCCCCCCCCCC(CO)CCCCCCCC
1873,CCCCCCCCCO
4976,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
5494,OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl
7560,CC1=C2C=CC=CC2=CC=C1
3995,CCCCCCCCCCCCCCCCO
7610,C1=CC2=CC=CC=C2C=C1
7625,CC1=CC2=CC=CC=C2C=C1
6095,[Cl-].CCCCCCCCN1C=C[N+](C)=C1
3032,CCCCCCCCC(CO)CCCCCC
3067,F[B-](F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
