,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6779,0.6293,0.7397,0.701,0.7064
GBT_AUC,0.7022,0.6698,0.7087,0.6957,0.7226
RF_AUC,0.769,0.6784,0.7392,0.7058,0.7363
LR_AUC,0.6747,0.6601,0.7253,0.6885,0.7032
KNN_AUC,0.7173,0.5922,0.6956,0.7026,0.6938
NB_AUC,0.6506,0.5696,0.6405,0.5987,0.6317
MLP_Recall,0.7167,0.8056,0.8042,0.7556,0.7667
GBT_Recall,0.7667,0.8306,0.7792,0.7431,0.7431
RF_Recall,0.7694,0.8542,0.8542,0.7792,0.7569
LR_Recall,0.6806,0.7792,0.7542,0.7181,0.7042
KNN_Recall,0.7667,0.5431,0.5667,0.7444,0.8139
NB_Recall,0.3333,0.6583,0.5819,0.7042,0.6708
MLP_F1,0.7082,0.7283,0.7613,0.7228,0.7532
GBT_F1,0.7375,0.7442,0.7238,0.7157,0.7239
RF_F1,0.7416,0.7333,0.7732,0.7166,0.7246
LR_F1,0.6896,0.7328,0.731,0.7091,0.6986
KNN_F1,0.7358,0.5921,0.6242,0.7197,0.7621
NB_F1,0.4309,0.6426,0.6246,0.6789,0.6738
