,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6899,0.6678,0.6897,0.684,0.6664
GBT_AUC,0.6777,0.6506,0.6808,0.6723,0.6688
RF_AUC,0.7112,0.7012,0.6953,0.6918,0.6766
LR_AUC,0.6557,0.6691,0.6587,0.6598,0.6362
KNN_AUC,0.672,0.6489,0.6658,0.6458,0.6256
NB_AUC,0.603,0.5401,0.6214,0.5518,0.502
MLP_Recall,0.4541,0.4828,0.5114,0.5,0.4742
GBT_Recall,0.3208,0.5173,0.3811,0.371,0.3653
RF_Recall,0.3181,0.3381,0.3165,0.3339,0.3036
LR_Recall,0.6806,0.5689,0.5243,0.5201,0.5371
KNN_Recall,0.6805,0.8252,0.7191,0.702,0.6605
NB_Recall,0.7452,0.6104,0.5515,0.6519,0.8309
MLP_F1,0.2804,0.2434,0.2644,0.2688,0.2698
GBT_F1,0.2587,0.2435,0.261,0.2717,0.2571
RF_F1,0.291,0.2699,0.2745,0.2895,0.2575
LR_F1,0.2229,0.2418,0.2606,0.2527,0.2376
KNN_F1,0.2485,0.2176,0.238,0.2347,0.213
NB_F1,0.1911,0.1841,0.2192,0.1911,0.1715
