,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7514,0.7048,0.7214,0.7333,0.7536
GBT_AUC,0.7437,0.784,0.8134,0.7726,0.8284
RF_AUC,0.8222,0.8378,0.8292,0.8632,0.845
LR_AUC,0.7336,0.7709,0.7222,0.7446,0.7541
KNN_AUC,0.7652,0.7804,0.7588,0.7781,0.7627
NB_AUC,0.5216,0.5387,0.7068,0.5396,0.4945
MLP_Recall,0.2755,0.2754,0.3518,0.3536,0.3645
GBT_Recall,0.16,0.1345,0.2564,0.2982,0.1936
RF_Recall,0.1536,0.2091,0.2082,0.2573,0.2182
LR_Recall,0.5055,0.3236,0.3709,0.3718,0.4109
KNN_Recall,0.5809,0.5718,0.5782,0.6282,0.5609
NB_Recall,0.8755,0.1436,0.6764,0.61,0.5573
MLP_F1,0.1985,0.2393,0.2763,0.2636,0.2331
GBT_F1,0.178,0.141,0.261,0.3001,0.2004
RF_F1,0.2158,0.2905,0.2476,0.338,0.2583
LR_F1,0.0768,0.2125,0.2117,0.2434,0.2189
KNN_F1,0.1294,0.1392,0.1023,0.1227,0.0994
NB_F1,0.0262,0.0503,0.0518,0.0308,0.0248
