,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7499,0.7371,0.7478,0.7148,0.7206
GBT_AUC,0.7334,0.7477,0.7614,0.7176,0.732
RF_AUC,0.7727,0.7638,0.7346,0.7398,0.7166
LR_AUC,0.72,0.7497,0.7506,0.7009,0.7132
KNN_AUC,0.723,0.6926,0.6428,0.6732,0.6723
NB_AUC,0.5676,0.5839,0.5807,0.5906,0.5787
MLP_Recall,0.6757,0.579,0.6517,0.5993,0.6153
GBT_Recall,0.6232,0.5755,0.6202,0.5877,0.5955
RF_Recall,0.6307,0.6275,0.5468,0.5912,0.5915
LR_Recall,0.5983,0.6235,0.684,0.6192,0.5912
KNN_Recall,0.6592,0.7003,0.7048,0.628,0.6278
NB_Recall,0.9878,0.4942,0.7085,0.7858,0.7895
MLP_F1,0.6609,0.6077,0.653,0.6105,0.6176
GBT_F1,0.6341,0.6162,0.6357,0.6082,0.6086
RF_F1,0.6458,0.6522,0.5944,0.6202,0.5946
LR_F1,0.605,0.6318,0.6694,0.6136,0.6085
KNN_F1,0.6316,0.6134,0.6069,0.6017,0.5868
NB_F1,0.6305,0.5136,0.5801,0.6088,0.604
