,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.5893,0.6045,0.5873,0.6407,0.6384
GBT_AUC,0.624,0.6393,0.6146,0.6306,0.6378
RF_AUC,0.6052,0.6246,0.6525,0.638,0.6368
LR_AUC,0.6004,0.6384,0.5955,0.631,0.6381
KNN_AUC,0.6196,0.5939,0.6427,0.6619,0.624
NB_AUC,0.6398,0.5488,0.6576,0.6299,0.5809
MLP_Recall,0.6636,0.7227,0.6673,0.6864,0.6855
GBT_Recall,0.6936,0.8146,0.7846,0.6764,0.6555
RF_Recall,0.7236,0.8518,0.7955,0.7455,0.7246
LR_Recall,0.6755,0.7236,0.6282,0.6682,0.6964
KNN_Recall,0.7809,0.6336,0.5955,0.7373,0.7327
NB_Recall,0.6591,0.6655,0.58,0.7073,0.66
MLP_F1,0.6346,0.6628,0.6367,0.6705,0.6692
GBT_F1,0.6662,0.7184,0.7069,0.6651,0.6531
RF_F1,0.6668,0.7233,0.7122,0.6892,0.672
LR_F1,0.6498,0.6846,0.6245,0.661,0.6761
KNN_F1,0.7021,0.643,0.6289,0.7152,0.7086
NB_F1,0.6655,0.6394,0.6279,0.6916,0.6489
