,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6915,0.6377,0.6327,0.6655,0.678
GBT_AUC,0.7421,0.6692,0.704,0.6811,0.7301
RF_AUC,0.7555,0.7461,0.726,0.7287,0.7767
LR_AUC,0.6644,0.6815,0.6692,0.6547,0.6498
KNN_AUC,0.6447,0.6436,0.6758,0.6626,0.6682
NB_AUC,0.4695,0.5572,0.5415,0.4044,0.4166
MLP_Recall,0.218,0.2583,0.2639,0.2625,0.2653
GBT_Recall,0.0861,0.1653,0.168,0.1306,0.143
RF_Recall,0.1083,0.0931,0.143,0.1306,0.143
LR_Recall,0.3972,0.2833,0.2875,0.2736,0.2639
KNN_Recall,0.343,0.4153,0.4931,0.4083,0.3917
NB_Recall,0.7236,0.1556,0.4056,0.4597,0.3903
MLP_F1,0.1521,0.2341,0.1356,0.1803,0.1798
GBT_F1,0.1517,0.2242,0.1371,0.2493,0.2374
RF_F1,0.1813,0.212,0.1504,0.2187,0.2462
LR_F1,0.0699,0.1922,0.1245,0.1631,0.1293
KNN_F1,0.0659,0.0563,0.0642,0.0801,0.0663
NB_F1,0.019,0.0802,0.0428,0.0156,0.0152
