,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7833,0.5074,0.773,0.56,0.56,,0.56,0.546,0.9728,14,772,11,11
0_1,0.8171,0.6679,0.8349,0.68,0.68,,0.68,0.6698,0.9802,17,775,8,8
0_2,0.7633,0.5852,0.7943,0.6,0.625,,0.6122,0.6003,0.9765,15,774,9,10
0_3,0.766,0.3849,0.6755,0.36,0.5625,,0.439,0.4363,0.9715,9,776,7,16
0_4,0.8793,0.6318,0.7711,0.56,0.5,,0.5283,0.5132,0.9691,14,769,14,11
0_5,0.7795,0.5296,0.7549,0.52,0.619,,0.5652,0.5548,0.9752,13,775,8,12
0_6,0.7944,0.5077,0.7162,0.44,0.6471,,0.5238,0.5216,0.9752,11,777,6,14
0_7,0.7858,0.6146,0.813,0.64,0.5926,,0.6154,0.6031,0.9752,16,772,11,9
0_8,0.8549,0.5272,0.7827,0.5769,0.625,,0.6,0.5878,0.9752,15,773,9,11
0_9,0.8294,0.569,0.8091,0.64,0.4848,,0.5517,0.5409,0.9678,16,765,17,9
0_Mean,0.8053,0.5525,0.7725,0.5577,0.5896,,0.5676,0.5574,0.9739,14.0,772.8,10.0,11.1
0_SD,0.0389,0.0804,0.0475,0.0972,0.0628,,0.0652,0.063,0.0037,2.449489742783178,3.583914681524163,3.366501646120693,2.4244128727957572
Mean,0.8053,0.5525,0.7725,0.5577,0.5896,,0.5676,0.5574,0.9739,14.0,772.8,10.0,11.1
SD,0.0389,0.0803,0.0475,0.0972,0.0628,,0.0652,0.0631,0.0037,2.4495,3.5839,3.3665,2.4244
