,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7648,0.0376,0.5975,0.2,0.2,,0.2,0.195,0.9901,1,802,4,4
0_1,0.729,0.3625,0.6981,0.4,0.4,,0.4,0.3963,0.9926,2,803,3,3
0_2,0.928,0.4208,0.7,0.4,1.0,,0.5714,0.6313,0.9963,2,806,0,3
0_3,0.6772,0.209,0.5988,0.2,0.3333,,0.25,0.2547,0.9926,1,804,2,4
0_4,0.8079,0.0807,0.5969,0.2,0.1667,,0.1818,0.177,0.9889,1,801,5,4
0_5,0.7266,0.0356,0.4988,0.0,0.0,,,-0.0039,0.9914,0,804,2,5
0_6,0.766,0.067,0.5994,0.2,0.5,,0.2857,0.3137,0.9938,1,805,1,4
0_7,0.5937,0.2547,0.6225,0.25,0.2,,0.2222,0.2193,0.9914,1,802,4,3
0_8,0.6318,0.2104,0.5938,0.2,0.0909,,0.125,0.1269,0.9827,1,795,10,4
0_9,0.5575,0.0427,0.5969,0.2,0.1667,,0.1818,0.177,0.9889,1,800,5,4
0_Mean,0.7182,0.1721,0.6103,0.225,0.3058,,0.2687,0.2487,0.9909,1.1,802.2,3.6,3.8
0_SD,0.1091,0.1417,0.0572,0.1137,0.2848,,0.1379,0.1716,0.0036,0.5676462121975467,3.1198290551460244,2.7968235951204043,0.6324555320336759
Mean,0.7183,0.1721,0.6103,0.225,0.3058,,0.2687,0.2487,0.9909,1.1,802.2,3.6,3.8
SD,0.1091,0.1417,0.0571,0.1137,0.2848,,0.1379,0.1716,0.0036,0.5676,3.1198,2.7968,0.6325
