,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7929,0.7572,0.5294,0.4286,0.4737,0.4639,0.9754
0_1,0.7077,0.6689,0.3529,0.3333,0.3429,0.3285,0.9717
0_2,0.6832,0.6689,0.3529,0.3333,0.3429,0.3285,0.9717
0_3,0.723,0.7106,0.4375,0.35,0.3889,0.3776,0.9729
0_4,0.9232,0.7891,0.5882,0.5556,0.5714,0.5622,0.9815
0_5,0.7446,0.6708,0.3529,0.4,0.375,0.3632,0.9753
0_6,0.7725,0.7015,0.4118,0.5,0.4516,0.4432,0.979
0_7,0.6999,0.7277,0.4706,0.4,0.4324,0.4207,0.9741
0_8,0.7824,0.7303,0.4706,0.5,0.4848,0.4744,0.979
0_9,0.7607,0.6983,0.4118,0.3684,0.3889,0.3757,0.9729
0_Mean,0.759,0.7123,0.4379,0.4169,0.4252,0.4138,0.9753
0_SD,0.0685,0.0398,0.079,0.0778,0.0721,0.0738,0.0034
Mean,0.759,0.7123,0.4379,0.4169,0.4252,0.4138,0.9754
SD,0.0685,0.0398,0.079,0.0779,0.0721,0.0738,0.0034
