,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.9562,0.3717,0.6646,0.3333,0.25,,0.2857,0.2853,0.9932,1,727,3,2
0_1,0.584,0.0593,0.6626,0.3333,0.1429,,0.2,0.2134,0.9891,1,724,6,2
0_2,0.668,0.0218,0.4973,0.0,0.0,,,-0.0047,0.9905,0,726,4,3
0_3,0.3699,0.0057,0.4973,0.0,0.0,,,-0.0047,0.9905,0,726,4,3
0_4,0.9836,0.4651,0.8306,0.6667,0.3333,,0.4444,0.4685,0.9932,2,726,4,1
0_5,0.9578,0.1125,0.4973,0.0,0.0,,,-0.0047,0.9905,0,726,4,3
0_6,0.9838,0.4043,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9945,1,728,2,2
0_7,0.8059,0.1091,0.4986,0.0,0.0,,,-0.0034,0.9932,0,728,2,3
0_8,0.86,0.0403,0.4952,0.0,0.0,,,-0.0063,0.9864,0,723,7,3
0_9,0.8654,0.3,0.7479,0.5,0.4,,0.4444,0.4438,0.9932,2,726,3,2
0_Mean,0.8035,0.189,0.6057,0.2167,0.146,,0.3416,0.1718,0.9914,0.7,726.0,3.9,2.4
0_SD,0.2038,0.1767,0.1247,0.2491,0.1674,,0.1054,0.1994,0.0025,0.8232726023485646,1.5634719199411433,1.5951314818673865,0.6992058987801011
Mean,0.8035,0.189,0.6057,0.2167,0.1459,,0.3416,0.1718,0.9914,0.7,726.0,3.9,2.4
SD,0.2038,0.1767,0.1247,0.2491,0.1674,,0.1053,0.1994,0.0025,0.8233,1.5635,1.5951,0.6992
