,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.806,0.2839,0.7438,0.5,0.3333,,0.4,0.3993,0.9815,5,792,10,5
0_1,0.8266,0.0485,0.5425,0.1,0.0769,,0.087,0.0747,0.9741,1,790,12,9
0_2,0.917,0.347,0.6913,0.4,0.2222,,0.2857,0.2866,0.9754,4,788,14,6
0_3,0.8998,0.0938,0.5938,0.2,0.1667,,0.1818,0.1714,0.9778,2,792,10,8
0_4,0.8859,0.3368,0.6756,0.3636,0.2857,,0.32,0.3118,0.9791,4,791,10,7
0_5,0.9255,0.2667,0.7248,0.4545,0.5556,,0.5,0.4964,0.9877,5,797,4,6
0_6,0.745,0.1898,0.6718,0.3636,0.2,,0.2581,0.2563,0.9717,4,785,16,7
0_7,0.8746,0.0914,0.6258,0.2727,0.15,,0.1935,0.1876,0.9692,3,784,17,8
0_8,0.8677,0.3795,0.6787,0.3636,0.4444,,0.4,0.3946,0.9852,4,796,5,7
0_9,0.8002,0.1218,0.5469,0.1,0.1667,,0.125,0.1207,0.9827,1,796,5,9
0_Mean,0.8548,0.2159,0.6495,0.3118,0.2602,,0.2751,0.2699,0.9784,3.3,791.1,10.3,7.2
0_SD,0.0583,0.1219,0.0699,0.1396,0.1474,,0.1323,0.1344,0.006,1.4944341180973264,4.508017549014447,4.595891885393109,1.3165611772087666
Mean,0.8548,0.2159,0.6495,0.3118,0.2602,,0.2751,0.2699,0.9784,3.3,791.1,10.3,7.2
SD,0.0583,0.1219,0.0699,0.1396,0.1474,,0.1323,0.1344,0.006,1.4944,4.508,4.5959,1.3166
