,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5331,0.5,0.0,,,0.0,0.9963
0_1,0.6761,0.8333,0.6667,1.0,0.8,0.816,0.9988
0_2,0.7616,0.4994,0.0,0.0,,-0.0021,0.9951
0_3,0.7799,0.4988,0.0,0.0,,-0.0025,0.9951
0_4,0.9494,0.7494,0.5,0.5,0.5,0.4988,0.9975
0_5,0.6461,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_6,0.9103,0.8333,0.6667,1.0,0.8,0.816,0.9988
0_7,0.5691,0.6654,0.3333,0.3333,0.3333,0.3309,0.9951
0_8,0.8132,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_9,0.9091,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_Mean,0.7548,0.658,0.3167,0.6481,0.5619,0.4187,0.9969
0_SD,0.1459,0.1272,0.254,0.4444,0.1737,0.3222,0.0014
Mean,0.7548,0.658,0.3167,0.6481,0.5619,0.4187,0.9969
SD,0.1459,0.1272,0.254,0.4444,0.1737,0.3222,0.0014
