,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.811,0.2602,0.625,0.25,1.0,,0.4,0.499,0.9959,1,730,0,3
0_1,0.6616,0.0056,0.5,0.0,,,,0.0,0.9959,0,730,0,3
0_2,0.8954,0.0948,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9945,1,728,2,2
0_3,0.9053,0.0543,0.5,0.0,,,,0.0,0.9959,0,730,0,3
0_4,0.9397,0.1398,0.8313,0.6667,0.4,,0.5,0.5139,0.9945,2,727,3,1
0_5,0.642,0.0071,0.5,0.0,,,,0.0,0.9959,0,730,0,3
0_6,0.4215,0.0039,0.4959,0.0,0.0,,,-0.0058,0.9877,0,724,6,3
0_7,0.9799,0.3908,0.666,0.3333,0.5,,0.4,0.4063,0.9959,1,729,1,2
0_8,0.9865,0.4998,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9945,1,728,2,2
0_9,0.5859,0.0462,0.6229,0.25,0.25,,0.25,0.2459,0.9918,1,726,3,3
0_Mean,0.7829,0.1503,0.6072,0.2167,0.4024,,0.3694,0.232,0.9943,0.7,728.2,1.7,2.5
0_SD,0.1936,0.1758,0.1095,0.2194,0.3059,,0.0846,0.2157,0.0026,0.6749485577105528,2.043961295567452,1.946506842754191,0.7071067811865476
Mean,0.7829,0.1502,0.6072,0.2167,0.4024,,0.3694,0.232,0.9942,0.7,728.2,1.7,2.5
SD,0.1936,0.1758,0.1095,0.2194,0.3059,,0.0846,0.2157,0.0026,0.6749,2.044,1.9465,0.7071
