,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5227,0.1372,0.5563,0.1176,0.3333,,0.1739,0.1883,0.9766,2,790,4,15
0_1,0.6253,0.0456,0.5525,0.1176,0.1667,,0.1379,0.1246,0.9692,2,784,10,15
0_2,0.5911,0.0926,0.5256,0.0588,0.1429,,0.0833,0.0794,0.9729,1,788,6,16
0_3,0.6606,0.2511,0.6145,0.2353,0.4444,,0.3077,0.3132,0.9778,4,789,5,13
0_4,0.6716,0.1574,0.5569,0.1176,0.4,,0.1818,0.2084,0.9778,2,791,3,15
0_5,0.5374,0.0952,0.5275,0.0588,0.25,,0.0952,0.1126,0.9766,1,791,3,16
0_6,0.5914,0.0412,0.5532,0.1176,0.1818,,0.1429,0.1317,0.9704,2,785,9,15
0_7,0.546,0.1781,0.5876,0.1765,0.75,,0.2857,0.3583,0.9815,3,793,1,14
0_8,0.629,0.1478,0.5538,0.1176,0.2,,0.1481,0.1396,0.9716,2,786,8,15
0_9,0.521,0.0577,0.5538,0.1176,0.2,,0.1481,0.1396,0.9716,2,785,8,15
0_Mean,0.5896,0.1204,0.5582,0.1235,0.3069,,0.1705,0.1796,0.9746,2.1,788.2,5.7,14.9
0_SD,0.0562,0.0667,0.0261,0.0515,0.1865,,0.0733,0.0905,0.004,0.8755950357709131,3.0840089349921005,2.9832867780352594,0.8755950357709131
Mean,0.5896,0.1204,0.5582,0.1235,0.3069,,0.1705,0.1796,0.9746,2.1,788.2,5.7,14.9
SD,0.0562,0.0667,0.0261,0.0515,0.1865,,0.0733,0.0905,0.004,0.8756,3.084,2.9833,0.8756
