,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8,0.75,1.0,0.7143,0.8333,0.5976,0.7778
0_1,0.65,0.725,0.7,0.7778,0.7368,0.4472,0.7222
0_2,0.539,0.6039,0.6364,0.7,0.6667,0.2039,0.6111
0_3,0.5584,0.5325,0.6364,0.6364,0.6364,0.0649,0.5556
0_4,0.9286,0.8286,0.8,0.8889,0.8421,0.648,0.8235
0_5,0.7786,0.6071,0.5,0.7143,0.5882,0.2143,0.5882
0_6,0.4357,0.5929,0.9,0.6429,0.75,0.2398,0.6471
0_7,0.5643,0.6143,0.8,0.6667,0.7273,0.2469,0.6471
0_8,0.7714,0.7571,0.8,0.8,0.8,0.5143,0.7647
0_9,0.5929,0.4429,0.6,0.5455,0.5714,-0.1177,0.4706
0_Mean,0.6619,0.6454,0.7373,0.7087,0.7152,0.3059,0.6608
0_SD,0.1517,0.1174,0.1506,0.0964,0.0969,0.2426,0.1106
Mean,0.6619,0.6454,0.7373,0.7087,0.7152,0.3059,0.6608
SD,0.1517,0.1174,0.1506,0.0964,0.0969,0.2426,0.1106
