,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6638,0.3626,0.618,0.6857,0.1399,,0.2324,0.1395,0.5634,48,361,295,22
0_1,0.6296,0.3535,0.5864,0.6286,0.1283,,0.2131,0.1022,0.5523,44,357,299,26
0_2,0.6374,0.3294,0.6308,0.7143,0.1441,,0.2398,0.1545,0.5634,50,359,297,20
0_3,0.691,0.3978,0.6733,0.7857,0.1603,,0.2663,0.205,0.5826,55,368,288,15
0_4,0.6487,0.3514,0.6236,0.7,0.1416,,0.2356,0.1461,0.562,49,359,297,21
0_5,0.6151,0.3669,0.6119,0.6522,0.138,,0.2278,0.132,0.5793,45,375,281,24
0_6,0.6541,0.3608,0.6424,0.7391,0.1461,,0.244,0.1673,0.5641,51,358,298,18
0_7,0.6367,0.3654,0.6202,0.7,0.14,,0.2333,0.1421,0.5559,49,354,301,21
0_8,0.6269,0.3577,0.6055,0.6857,0.1337,,0.2238,0.1246,0.5407,48,344,311,22
0_9,0.6545,0.41,0.62,0.7286,0.1375,,0.2313,0.1418,0.5324,51,335,320,19
0_Mean,0.6458,0.3655,0.6232,0.702,0.141,,0.2348,0.1455,0.5596,49.0,357.0,298.7,20.8
0_SD,0.0217,0.023,0.0231,0.0443,0.0085,,0.014,0.0272,0.0154,3.1269438398822866,11.215069227507147,10.842816362304891,3.0840089349921005
Mean,0.6458,0.3656,0.6232,0.702,0.141,,0.2347,0.1455,0.5596,49.0,357.0,298.7,20.8
SD,0.0217,0.023,0.023,0.0443,0.0085,,0.014,0.0272,0.0154,3.1269,11.2151,10.8428,3.084
