,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7038,0.3111,0.6841,0.5714,0.0698,,0.1244,0.1431,0.7908,12,627,160,9
0_1,0.6804,0.2354,0.6403,0.4762,0.061,,0.1081,0.111,0.7958,10,633,154,11
0_2,0.7356,0.2914,0.7022,0.619,0.0714,,0.1281,0.154,0.7809,13,618,169,8
0_3,0.5614,0.1467,0.5649,0.3182,0.0452,,0.0791,0.0537,0.7983,7,638,148,15
0_4,0.6513,0.2546,0.6106,0.4286,0.0523,,0.0933,0.086,0.7831,9,623,163,12
0_5,0.6573,0.2332,0.6442,0.5238,0.0561,,0.1014,0.1071,0.7584,11,601,185,10
0_6,0.6499,0.1843,0.6487,0.5238,0.0582,,0.1048,0.1118,0.767,11,608,178,10
0_7,0.7772,0.304,0.7605,0.7143,0.0898,,0.1596,0.2047,0.8042,15,634,152,6
0_8,0.7418,0.2883,0.6718,0.5714,0.0628,,0.1132,0.1287,0.767,12,607,179,9
0_9,0.7159,0.3107,0.6725,0.5714,0.0632,,0.1137,0.1294,0.7683,12,608,178,9
0_Mean,0.6875,0.256,0.66,0.5318,0.063,,0.1126,0.1229,0.7814,11.2,619.7,166.6,9.9
0_SD,0.0614,0.0564,0.0527,0.1081,0.0122,,0.0218,0.0406,0.0157,2.2010098692292237,13.199747472331936,13.048627003124377,2.4244128727957577
Mean,0.6875,0.256,0.66,0.5318,0.063,,0.1126,0.123,0.7814,11.2,619.7,166.6,9.9
SD,0.0614,0.0564,0.0527,0.1081,0.0122,,0.0218,0.0406,0.0157,2.201,13.1997,13.0486,2.4244
