,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8139,0.8053,0.6667,0.0465,0.087,0.1659,0.9427
0_1,0.8121,0.8039,0.6667,0.0444,0.0833,0.1616,0.94
0_2,0.987,0.9685,1.0,0.0612,0.1154,0.2395,0.9372
0_3,0.9541,0.7957,0.6667,0.0351,0.0667,0.141,0.9236
0_4,0.626,0.6311,0.3333,0.0189,0.0357,0.0646,0.9263
0_5,0.7159,0.7212,0.5,0.0455,0.0833,0.1372,0.94
0_6,0.8222,0.7123,0.5,0.0351,0.0656,0.1168,0.9222
0_7,0.5828,0.5921,0.25,0.0204,0.0377,0.0543,0.9304
0_8,0.6225,0.6392,0.3333,0.0244,0.0455,0.0774,0.9426
0_9,0.4582,0.476,0.0,0.0,,-0.0144,0.9481
0_Mean,0.7395,0.7145,0.4917,0.0331,0.0689,0.1144,0.9353
0_SD,0.1686,0.1382,0.279,0.0176,0.0263,0.0713,0.009
Mean,0.7395,0.7145,0.4917,0.0332,0.0689,0.1144,0.9353
SD,0.1686,0.1382,0.279,0.0176,0.0263,0.0713,0.009
