,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7238,0.0184,0.7316,0.5,0.0357,,0.0667,0.1261,0.962,1,707,27,1
0_1,0.7241,0.019,0.7316,0.5,0.0357,,0.0667,0.1261,0.962,1,707,27,1
0_2,0.7214,0.0165,0.7337,0.5,0.04,,0.0741,0.1343,0.966,1,710,24,1
0_3,0.9905,0.5625,0.983,1.0,0.0741,,0.1379,0.2675,0.966,2,709,25,0
0_4,0.4598,0.0014,0.4741,0.0,0.0,,,-0.0122,0.9457,0,696,38,2
0_5,0.4659,0.0014,0.4775,0.0,0.0,,,-0.0113,0.9524,0,701,33,2
0_6,0.4632,0.0007,0.4775,0.0,0.0,,,-0.008,0.9537,0,701,33,1
0_7,0.4653,0.0007,0.4768,0.0,0.0,,,-0.0081,0.9524,0,700,34,1
0_8,0.9837,0.52,0.9714,1.0,0.0233,,0.0455,0.1481,0.9429,1,692,42,0
0_9,0.9598,0.277,0.7227,0.5,0.0244,,0.0465,0.1011,0.9442,1,693,40,1
0_Mean,0.6957,0.1417,0.678,0.4,0.0233,,0.0729,0.0863,0.9547,0.7,701.6,32.3,1.0
0_SD,0.2254,0.227,0.1979,0.3944,0.0244,,0.0339,0.0939,0.0089,0.6749485577105528,6.535373831014651,6.395310782127793,0.6666666666666666
Mean,0.6958,0.1418,0.678,0.4,0.0233,,0.0729,0.0864,0.9547,0.7,701.6,32.3,1.0
SD,0.2255,0.2269,0.1979,0.3944,0.0244,,0.0339,0.0939,0.0088,0.6749,6.5354,6.3953,0.6667
