,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8094,0.3681,0.8046,0.6667,0.0455,,0.0851,0.1637,0.9413,2,688,42,1
0_1,0.7929,0.1903,0.7963,0.6667,0.0357,,0.0678,0.1425,0.925,2,676,54,1
0_2,0.4514,0.002,0.4664,0.0,0.0,,,-0.0172,0.9291,0,681,49,3
0_3,0.616,0.0097,0.6338,0.3333,0.0204,,0.0385,0.0684,0.9318,1,682,48,2
0_4,0.9621,0.371,0.9562,1.0,0.0448,,0.0857,0.2021,0.9127,3,666,64,0
0_5,0.6043,0.0084,0.4678,0.0,0.0,,,-0.0168,0.9318,0,683,47,3
0_6,0.8096,0.3707,0.7998,0.6667,0.0392,,0.0741,0.1504,0.9318,2,681,49,1
0_7,0.8084,0.369,0.8032,0.6667,0.0435,,0.0816,0.1596,0.9386,2,686,44,1
0_8,0.6299,0.1789,0.6338,0.3333,0.0204,,0.0385,0.0684,0.9318,1,682,48,2
0_9,0.9678,0.4321,0.8483,0.75,0.0714,,0.1304,0.2208,0.9454,3,690,39,1
0_Mean,0.7452,0.23,0.721,0.5083,0.0321,,0.0752,0.1142,0.9319,1.6,681.5,48.4,1.5
0_SD,0.1658,0.1741,0.1637,0.3297,0.0221,,0.0294,0.0845,0.0091,1.0749676997731399,6.7371276438025784,6.88315173287483,0.97182531580755
Mean,0.7452,0.23,0.721,0.5083,0.0321,,0.0752,0.1142,0.9319,1.6,681.5,48.4,1.5
SD,0.1658,0.1741,0.1637,0.3297,0.0221,,0.0294,0.0845,0.0091,1.075,6.7371,6.8832,0.9718
