,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8481,0.4113,0.7939,0.7,0.0722,,0.1308,0.1999,0.8855,7,712,90,3
0_1,0.6385,0.2274,0.6389,0.4,0.0392,,0.0714,0.0924,0.8719,4,704,98,6
0_2,0.8236,0.294,0.7339,0.6,0.0536,,0.0984,0.1496,0.8645,6,696,106,4
0_3,0.6639,0.1258,0.6814,0.5,0.0435,,0.08,0.1148,0.8584,5,692,110,5
0_4,0.7955,0.3185,0.7539,0.6364,0.0636,,0.1157,0.1715,0.8682,7,698,103,4
0_5,0.7635,0.2775,0.7645,0.6364,0.0753,,0.1346,0.192,0.8892,7,715,86,4
0_6,0.7419,0.221,0.7072,0.5455,0.0541,,0.0984,0.1394,0.8645,6,696,105,5
0_7,0.7929,0.2306,0.719,0.5455,0.0652,,0.1165,0.1598,0.8879,6,715,86,5
0_8,0.7065,0.2193,0.7159,0.5455,0.0619,,0.1111,0.1539,0.8818,6,710,91,5
0_9,0.7383,0.2405,0.6957,0.5,0.0543,,0.098,0.1362,0.8866,5,714,87,5
0_Mean,0.7513,0.2566,0.7204,0.5609,0.0583,,0.1055,0.151,0.8758,5.9,705.2,96.2,4.6
0_SD,0.0675,0.0754,0.0442,0.0858,0.0116,,0.0203,0.0328,0.0115,0.9944289260117531,9.040648944259107,9.259229629582222,0.8432740427115678
Mean,0.7513,0.2566,0.7204,0.5609,0.0583,,0.1055,0.151,0.8758,5.9,705.2,96.2,4.6
SD,0.0675,0.0754,0.0442,0.0858,0.0116,,0.0203,0.0328,0.0116,0.9944,9.0406,9.2592,0.8433
