,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5113,0.0802,0.5251,0.2353,0.0265,,0.0476,0.0185,0.8027,4,647,147,13
0_1,0.669,0.2418,0.6551,0.5294,0.0492,,0.09,0.1063,0.7756,9,620,174,8
0_2,0.6334,0.1796,0.6064,0.4118,0.0424,,0.0769,0.0757,0.7928,7,636,158,10
0_3,0.5888,0.2058,0.6051,0.4118,0.0419,,0.0761,0.0745,0.7904,7,634,160,10
0_4,0.7184,0.2185,0.664,0.5294,0.0533,,0.0968,0.1157,0.7928,9,634,160,8
0_5,0.6015,0.2101,0.6095,0.4118,0.0438,,0.0791,0.0789,0.799,7,641,153,10
0_6,0.5658,0.113,0.5387,0.2941,0.0282,,0.0515,0.0269,0.7731,5,622,172,12
0_7,0.6042,0.1768,0.6295,0.4706,0.0455,,0.0829,0.09,0.7818,8,626,168,9
0_8,0.6373,0.21,0.6264,0.4706,0.0442,,0.0808,0.0869,0.7756,8,621,173,9
0_9,0.7436,0.2822,0.7464,0.7059,0.0663,,0.1212,0.1696,0.7852,12,624,169,5
0_Mean,0.6273,0.1918,0.6206,0.4471,0.0441,,0.0803,0.0843,0.7869,7.6,630.5,163.4,9.4
0_SD,0.0696,0.059,0.0627,0.1307,0.0114,,0.021,0.043,0.0103,2.2211108331943574,9.264628073124864,9.191783770786216,2.2211108331943574
Mean,0.6273,0.1918,0.6206,0.4471,0.0441,,0.0803,0.0843,0.7869,7.6,630.5,163.4,9.4
SD,0.0696,0.059,0.0627,0.1307,0.0114,,0.021,0.043,0.0103,2.2211,9.2646,9.1918,2.2211
