,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6106,0.1518,0.5869,0.2308,0.0682,,0.1053,0.0966,0.9304,3,679,41,10
0_1,0.4994,0.0187,0.5149,0.0769,0.0286,,0.0417,0.0184,0.9372,1,686,34,12
0_2,0.6927,0.1344,0.6337,0.3077,0.1212,,0.1739,0.1702,0.9482,4,691,29,9
0_3,0.5764,0.0275,0.519,0.0769,0.0345,,0.0476,0.0258,0.9454,1,692,28,12
0_4,0.5725,0.0491,0.5526,0.1538,0.0541,,0.08,0.0634,0.9372,2,685,35,11
0_5,0.5743,0.0694,0.5869,0.2308,0.0682,,0.1053,0.0966,0.9304,3,679,41,10
0_6,0.7475,0.0536,0.5568,0.1538,0.0645,,0.0909,0.0745,0.9454,2,691,29,11
0_7,0.635,0.0442,0.5597,0.1667,0.0556,,0.0833,0.0701,0.9399,2,686,34,10
0_8,0.7829,0.1158,0.7194,0.5,0.12,,0.1935,0.2209,0.9317,6,676,44,6
0_9,0.5423,0.0838,0.626,0.3077,0.0909,,0.1404,0.1401,0.9331,4,679,40,9
0_Mean,0.6234,0.0748,0.5856,0.2205,0.0706,,0.1062,0.0977,0.9379,2.8,684.4,35.5,10.0
0_SD,0.0914,0.0456,0.0614,0.1276,0.0317,,0.0499,0.0634,0.0066,1.5491933384829668,5.853773711604051,5.759050847723665,1.7638342073763937
Mean,0.6234,0.0748,0.5856,0.2205,0.0706,,0.1062,0.0977,0.9379,2.8,684.4,35.5,10.0
SD,0.0914,0.0456,0.0614,0.1276,0.0317,,0.0499,0.0634,0.0066,1.5492,5.8538,5.7591,1.7638
