,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.2096,0.0022,0.4988,0.0,0.0,,,-0.003,0.9939,0,809,2,3
0_1,0.6987,0.6678,0.8327,0.6667,0.6667,,0.6667,0.6654,0.9975,2,810,1,1
0_2,0.7596,0.0115,0.4982,0.0,0.0,,,-0.0037,0.9926,0,808,3,3
0_3,0.7546,0.0047,0.4963,0.0,0.0,,,-0.0043,0.9902,0,805,6,2
0_4,0.9877,0.5346,0.7457,0.5,0.125,,0.2,0.2466,0.9902,1,804,7,1
0_5,0.6481,0.3364,0.6654,0.3333,0.3333,,0.3333,0.3309,0.9951,1,808,2,2
0_6,0.9572,0.6745,0.8315,0.6667,0.4,,0.5,0.5142,0.9951,2,807,3,1
0_7,0.6407,0.3381,0.6642,0.3333,0.2,,0.25,0.2547,0.9926,1,806,4,2
0_8,0.8453,0.0932,0.6648,0.3333,0.25,,0.2857,0.2856,0.9938,1,807,3,2
0_9,0.6111,0.3364,0.6642,0.3333,0.2,,0.25,0.2547,0.9926,1,806,4,2
0_Mean,0.7113,0.2999,0.6562,0.3167,0.2175,,0.3551,0.2541,0.9934,0.9,807.0,3.5,1.9
0_SD,0.2185,0.266,0.1272,0.254,0.211,,0.1681,0.2219,0.0023,0.7378647873726218,1.8257418583505538,1.8408935028645435,0.7378647873726218
Mean,0.7113,0.2999,0.6562,0.3167,0.2175,,0.3551,0.2541,0.9934,0.9,807.0,3.5,1.9
SD,0.2186,0.2659,0.1271,0.254,0.211,,0.1681,0.2219,0.0022,0.7379,1.8257,1.8409,0.7379
