,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7743,0.2606,0.6229,0.25,0.25,,0.25,0.2459,0.9918,1,727,3,3
0_1,0.4525,0.0035,0.4973,0.0,0.0,,,-0.0047,0.9905,0,726,4,3
0_2,0.9219,0.11,0.6639,0.3333,0.2,,0.25,0.2543,0.9918,1,726,4,2
0_3,0.8397,0.0284,0.4979,0.0,0.0,,,-0.0041,0.9918,0,727,3,3
0_4,0.8648,0.114,0.8265,0.6667,0.1667,,0.2667,0.3285,0.985,2,720,10,1
0_5,0.7292,0.0073,0.4952,0.0,0.0,,,-0.0063,0.9864,0,723,7,3
0_6,0.6562,0.014,0.4945,0.0,0.0,,,-0.0067,0.985,0,722,8,3
0_7,0.9571,0.5365,0.8292,0.6667,0.25,,0.3636,0.4046,0.9905,2,724,6,1
0_8,0.9886,0.5591,0.8306,0.6667,0.3333,,0.4444,0.4685,0.9932,2,726,4,1
0_9,0.6223,0.2581,0.6202,0.25,0.125,,0.1667,0.1705,0.9864,1,722,7,3
0_Mean,0.7807,0.1891,0.6378,0.2833,0.1325,,0.2902,0.185,0.9892,0.9,724.3,5.6,2.3
0_SD,0.1686,0.2117,0.1456,0.2919,0.1265,,0.0982,0.1835,0.0032,0.8755950357709132,2.4517567397911053,2.3664319132398464,0.9486832980505138
Mean,0.7807,0.1891,0.6378,0.2833,0.1325,,0.2902,0.1851,0.9892,0.9,724.3,5.6,2.3
SD,0.1686,0.2117,0.1456,0.2919,0.1265,,0.0982,0.1835,0.0032,0.8756,2.4518,2.3664,0.9487
