,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7694,0.7804,0.6881,0.72,0.6207,,0.6667,0.3735,0.6842,18,21,11,7
0_1,0.74,0.6824,0.6569,0.72,0.5806,,0.6429,0.3126,0.6491,18,19,13,7
0_2,0.6519,0.5984,0.5706,0.36,0.5625,,0.439,0.156,0.5965,9,25,7,16
0_3,0.6762,0.649,0.6706,0.56,0.6667,,0.6087,0.351,0.6842,14,25,7,11
0_4,0.7331,0.7442,0.6681,0.68,0.6071,,0.6415,0.3338,0.6667,17,21,11,8
0_5,0.7175,0.6526,0.675,0.6,0.6522,,0.625,0.354,0.6842,15,24,8,10
0_6,0.7425,0.6269,0.635,0.52,0.619,,0.5652,0.2777,0.6491,13,24,8,12
0_7,0.7031,0.5848,0.6562,0.625,0.6,,0.6122,0.3111,0.6607,15,22,10,9
0_8,0.6589,0.6201,0.6146,0.5417,0.5652,,0.5532,0.2305,0.625,13,22,10,11
0_9,0.793,0.754,0.75,0.75,0.6923,,0.72,0.4961,0.75,18,24,8,6
0_Mean,0.7186,0.6693,0.6585,0.6077,0.6166,,0.6074,0.3196,0.665,15.0,22.7,9.3,9.7
0_SD,0.0464,0.0686,0.0471,0.1187,0.0431,,0.076,0.0901,0.041,2.9059326290271157,2.0027758514399734,2.0027758514399734,2.9832867780352594
Mean,0.7186,0.6693,0.6585,0.6077,0.6166,,0.6074,0.3196,0.665,15.0,22.7,9.3,9.7
SD,0.0464,0.0686,0.0471,0.1187,0.0432,,0.076,0.0901,0.041,2.9059,2.0028,2.0028,2.9833
