,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7577,0.7105,0.4839,0.2344,0.3158,0.2994,0.9198
0_1,0.8171,0.7724,0.6129,0.2639,0.3689,0.3673,0.9198
0_2,0.7679,0.7576,0.5806,0.2609,0.36,0.3541,0.921
0_3,0.7795,0.7311,0.5161,0.2759,0.3596,0.3439,0.9296
0_4,0.8398,0.7551,0.5667,0.2787,0.3736,0.3651,0.9295
0_5,0.6872,0.655,0.3871,0.1667,0.233,0.209,0.9023
0_6,0.6865,0.6763,0.4194,0.2,0.2708,0.2489,0.9135
0_7,0.757,0.713,0.4839,0.25,0.3297,0.3121,0.9246
0_8,0.7234,0.733,0.5161,0.2909,0.3721,0.3554,0.9333
0_9,0.8293,0.7601,0.5806,0.2769,0.375,0.3674,0.9258
0_Mean,0.7645,0.7264,0.5147,0.2498,0.3359,0.3223,0.9219
0_SD,0.0545,0.0382,0.0733,0.0393,0.0492,0.0551,0.009
Mean,0.7645,0.7264,0.5147,0.2498,0.3359,0.3223,0.9219
SD,0.0545,0.0382,0.0733,0.0393,0.0492,0.0551,0.009
