,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8896,0.4966,0.0,0.0,,-0.0043,0.9905
0_1,0.8978,0.4959,0.0,0.0,,-0.0047,0.9891
0_2,0.9428,0.4993,0.0,0.0,,-0.0019,0.9959
0_3,0.998,0.9973,1.0,0.3333,0.5,0.5758,0.9946
0_4,0.5872,0.4946,0.0,0.0,,-0.0055,0.9864
0_5,0.5845,0.4946,0.0,0.0,,-0.0055,0.9864
0_6,0.8774,0.498,0.0,0.0,,-0.0024,0.9946
0_7,0.8052,0.4973,0.0,0.0,,-0.0027,0.9932
0_8,1.0,0.9966,1.0,0.1667,0.2857,0.4069,0.9932
0_9,0.588,0.7432,0.5,0.0909,0.1538,0.2087,0.985
0_Mean,0.817,0.6213,0.25,0.0591,0.3132,0.1164,0.9909
0_SD,0.169,0.2124,0.4249,0.1117,0.1747,0.2122,0.004
Mean,0.817,0.6213,0.25,0.0591,0.3132,0.1164,0.9909
SD,0.169,0.2124,0.4249,0.1117,0.1747,0.2122,0.004
