,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5886,0.0054,0.498,0.0,0.0,,,-0.0033,0.9932,0,731,3,2
0_1,0.7159,0.0851,0.748,0.5,0.25,,0.3333,0.3511,0.9946,1,731,3,1
0_2,0.577,0.1262,0.7459,0.5,0.1429,,0.2222,0.2638,0.9905,1,728,6,1
0_3,0.1253,0.0008,0.4973,0.0,0.0,,,-0.0027,0.9932,0,730,4,1
0_4,0.9986,0.25,0.9986,1.0,0.3333,,0.5,0.5766,0.9973,1,732,2,0
0_5,0.5967,0.0017,0.498,0.0,0.0,,,-0.0024,0.9946,0,731,3,1
0_6,0.4628,0.0039,0.4986,0.0,0.0,,,-0.0027,0.9946,0,731,2,2
0_7,0.7237,0.0186,0.4973,0.0,0.0,,,-0.0039,0.9918,0,729,4,2
0_8,0.7694,0.5022,0.7473,0.5,0.2,,0.2857,0.3134,0.9932,1,729,4,1
0_9,0.9543,0.0284,0.4939,0.0,0.0,,,-0.0058,0.985,0,724,9,2
0_Mean,0.6512,0.1022,0.6223,0.25,0.0926,,0.3353,0.1484,0.9928,0.4,729.6,4.0,1.3
0_SD,0.2495,0.1614,0.1771,0.3536,0.1283,,0.1188,0.2117,0.0033,0.5163977794943223,2.3190036174568114,2.1081851067789197,0.674948557710553
Mean,0.6512,0.1022,0.6223,0.25,0.0926,,0.3353,0.1484,0.9928,0.4,729.6,4.0,1.3
SD,0.2495,0.1614,0.1771,0.3536,0.1283,,0.1189,0.2117,0.0033,0.5164,2.319,2.1082,0.6749
