,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6086,0.664,0.3684,0.1795,0.2414,0.2319,0.9457
0_1,0.6915,0.6044,0.2632,0.1042,0.1493,0.1339,0.9297
0_2,0.7312,0.6383,0.3158,0.1622,0.2143,0.2005,0.9457
0_3,0.6609,0.6678,0.3684,0.2121,0.2692,0.2569,0.9531
0_4,0.652,0.6114,0.2632,0.1351,0.1786,0.1615,0.9433
0_5,0.598,0.5901,0.2105,0.1429,0.1702,0.1493,0.9519
0_6,0.6668,0.6791,0.4,0.1951,0.2623,0.2536,0.9445
0_7,0.5631,0.6183,0.2632,0.1923,0.2222,0.2032,0.9568
0_8,0.6396,0.6383,0.3158,0.1622,0.2143,0.2005,0.9457
0_9,0.5664,0.6126,0.2632,0.1429,0.1852,0.1677,0.9457
0_Mean,0.6378,0.6324,0.3032,0.1628,0.2107,0.1959,0.9462
0_SD,0.054,0.03,0.0607,0.0327,0.0398,0.0427,0.0073
Mean,0.6378,0.6324,0.3032,0.1628,0.2107,0.1959,0.9462
SD,0.0541,0.03,0.0607,0.0327,0.0398,0.0427,0.0073
