,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.59,0.5831,0.76,0.5,0.6032,0.175,0.5614
0_1,0.4862,0.4738,0.76,0.4222,0.5429,-0.0639,0.4386
0_2,0.5963,0.5656,0.6,0.5,0.5455,0.1304,0.5614
0_3,0.5975,0.6144,0.76,0.5278,0.623,0.2353,0.5965
0_4,0.635,0.6275,0.88,0.5238,0.6567,0.2874,0.5965
0_5,0.5825,0.5875,0.8,0.5,0.6154,0.1898,0.5614
0_6,0.6206,0.6231,0.84,0.525,0.6462,0.2671,0.5965
0_7,0.6107,0.6094,0.75,0.5143,0.6102,0.2236,0.5893
0_8,0.5456,0.5417,0.8333,0.4545,0.5882,0.1005,0.5
0_9,0.6413,0.6406,0.875,0.525,0.6563,0.3081,0.6071
0_Mean,0.5906,0.5867,0.7858,0.4993,0.6087,0.1853,0.5609
0_SD,0.0458,0.0499,0.0817,0.0348,0.0408,0.1098,0.0531
Mean,0.5906,0.5867,0.7858,0.4993,0.6088,0.1853,0.5609
SD,0.0458,0.0499,0.0817,0.0348,0.0408,0.1098,0.0531
