,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.4911,0.4911,0.0,0.0,,-0.007,0.9796
0_1,0.4911,0.4911,0.0,0.0,,-0.007,0.9796
0_2,0.4884,0.4884,0.0,0.0,,-0.008,0.9742
0_3,0.7377,0.7377,0.5,0.0526,0.0952,0.1561,0.9742
0_4,0.7384,0.7384,0.5,0.0556,0.1,0.1607,0.9755
0_5,0.4877,0.4877,0.0,0.0,,-0.0083,0.9728
0_6,0.4782,0.4782,0.0,0.0,,-0.0079,0.9551
0_7,0.4918,0.4918,0.0,0.0,,-0.0048,0.9823
0_8,0.9871,0.9871,1.0,0.05,0.0952,0.2207,0.9741
0_9,0.7364,0.7364,0.5,0.0476,0.087,0.1478,0.9714
0_Mean,0.6128,0.6128,0.25,0.0206,0.0944,0.0642,0.9739
0_SD,0.1764,0.1764,0.3536,0.0266,0.0054,0.0942,0.0075
Mean,0.6128,0.6128,0.25,0.0206,0.0943,0.0642,0.9739
SD,0.1765,0.1765,0.3536,0.0266,0.0054,0.0942,0.0074
