,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.488,0.3575,0.4795,0.6923,0.0168,,0.0327,-0.0122,0.2742,9,192,528,4
0_1,0.5295,0.3962,0.5082,0.7692,0.0181,,0.0354,0.005,0.2565,10,178,542,3
0_2,0.3901,0.2418,0.3606,0.4615,0.0111,,0.0217,-0.0834,0.2633,6,187,533,7
0_3,0.2875,0.1639,0.2907,0.3077,0.0076,,0.0148,-0.1229,0.2742,4,197,523,9
0_4,0.4472,0.3187,0.4459,0.6154,0.0151,,0.0295,-0.0319,0.2824,8,199,521,5
0_5,0.3691,0.2413,0.3829,0.4615,0.0118,,0.0231,-0.067,0.307,6,219,501,7
0_6,0.4518,0.3188,0.476,0.6923,0.0166,,0.0324,-0.0144,0.2674,9,187,533,4
0_7,0.4637,0.3435,0.4674,0.6667,0.015,,0.0293,-0.0187,0.2746,8,193,527,4
0_8,0.4694,0.3436,0.4604,0.6667,0.0147,,0.0287,-0.0231,0.2609,8,183,537,4
0_9,0.4696,0.3192,0.4391,0.6154,0.0149,,0.029,-0.0364,0.2691,8,189,530,5
0_Mean,0.4366,0.3044,0.4311,0.5949,0.0142,,0.0277,-0.0405,0.273,7.6,192.4,527.5,5.2
0_SD,0.0695,0.0688,0.0665,0.1409,0.0031,,0.0061,0.0391,0.0142,1.776388345929897,11.246727919216722,11.217545780309226,1.8737959096740262
Mean,0.4366,0.3044,0.4311,0.5949,0.0142,,0.0277,-0.0405,0.273,7.6,192.4,527.5,5.2
SD,0.0695,0.0688,0.0665,0.1409,0.0031,,0.0061,0.0391,0.0142,1.7764,11.2467,11.2175,1.8738
