,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6228,0.3982,0.6252,0.7692,0.0236,,0.0458,0.063,0.4858,10,384,414,3
0_1,0.6781,0.4376,0.6605,0.8462,0.0256,,0.0497,0.0808,0.4809,11,379,419,2
0_2,0.6861,0.4385,0.6862,0.8462,0.0283,,0.0547,0.0936,0.5314,11,420,378,2
0_3,0.6328,0.3883,0.6388,0.75,0.0233,,0.0452,0.0671,0.5309,9,421,377,3
0_4,0.5321,0.3031,0.5404,0.5833,0.0172,,0.0333,0.0195,0.4988,7,397,401,5
0_5,0.7197,0.4773,0.7188,0.9231,0.0301,,0.0583,0.11,0.521,12,410,387,1
0_6,0.6566,0.3995,0.6431,0.7692,0.0253,,0.049,0.0719,0.521,10,412,385,3
0_7,0.6198,0.3233,0.6057,0.6154,0.0242,,0.0466,0.0541,0.5963,8,475,322,5
0_8,0.5985,0.3598,0.6009,0.6923,0.0225,,0.0436,0.0507,0.5123,9,406,391,4
0_9,0.5805,0.3214,0.6046,0.6923,0.0228,,0.0442,0.0526,0.5198,9,412,385,4
0_Mean,0.6327,0.3847,0.6324,0.7487,0.0243,,0.047,0.0663,0.5198,9.6,411.6,385.9,3.2
0_SD,0.0551,0.0575,0.0498,0.1063,0.0035,,0.0067,0.0251,0.0321,1.505545305418162,26.35315709528725,26.597618941050595,1.3165611772087666
Mean,0.6327,0.3847,0.6324,0.7487,0.0243,,0.047,0.0663,0.5198,9.6,411.6,385.9,3.2
SD,0.0551,0.0575,0.0498,0.1063,0.0035,,0.0068,0.0251,0.0321,1.5055,26.3532,26.5976,1.3166
