,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5117,0.3486,0.5389,0.7222,0.0248,,0.048,0.024,0.3637,13,282,511,5
0_1,0.6067,0.4131,0.605,0.7895,0.0316,,0.0609,0.0644,0.4291,15,333,459,4
0_2,0.5439,0.3849,0.5591,0.7368,0.0278,,0.0535,0.0368,0.3896,14,302,490,5
0_3,0.4983,0.2803,0.5022,0.5789,0.0236,,0.0454,0.0014,0.4291,11,337,455,8
0_4,0.5362,0.3332,0.5279,0.6316,0.0256,,0.0493,0.0171,0.4291,12,336,456,7
0_5,0.5148,0.2944,0.5019,0.5556,0.0224,,0.043,0.0011,0.4506,10,355,437,8
0_6,0.5968,0.3787,0.5941,0.7778,0.0291,,0.0561,0.0565,0.4185,14,325,467,4
0_7,0.5106,0.3214,0.5183,0.6111,0.0236,,0.0455,0.0109,0.4296,11,337,455,7
0_8,0.5539,0.3772,0.5562,0.7222,0.0262,,0.0506,0.034,0.3975,13,309,483,5
0_9,0.4861,0.2934,0.4931,0.5556,0.0217,,0.0418,-0.0041,0.4333,10,341,451,8
0_Mean,0.5359,0.3425,0.5397,0.6681,0.0256,,0.0494,0.0242,0.417,12.3,325.7,466.4,6.1
0_SD,0.0404,0.0453,0.0387,0.0914,0.0031,,0.006,0.0236,0.0257,1.766981104093143,21.751372881319977,21.975744204311564,1.66332999331662
Mean,0.5359,0.3425,0.5397,0.6681,0.0256,,0.0494,0.0242,0.417,12.3,325.7,466.4,6.1
SD,0.0404,0.0453,0.0387,0.0914,0.0031,,0.006,0.0236,0.0257,1.767,21.7514,21.9757,1.6633
