,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.444,0.4507,0.6471,0.0182,0.0355,-0.0323,0.2626
0_1,0.4909,0.4753,0.6471,0.0195,0.0379,-0.0154,0.3107
0_2,0.4807,0.5045,0.7647,0.0212,0.0413,0.003,0.2552
0_3,0.4306,0.4375,0.6471,0.0176,0.0343,-0.0425,0.2367
0_4,0.5319,0.5478,0.8235,0.0236,0.046,0.0308,0.2836
0_5,0.4779,0.4671,0.6471,0.0191,0.037,-0.0208,0.2947
0_6,0.5318,0.5184,0.7647,0.022,0.0428,0.0118,0.2824
0_7,0.44,0.4566,0.5882,0.0183,0.0355,-0.0265,0.3305
0_8,0.4963,0.4927,0.7059,0.0205,0.0399,-0.0046,0.2885
0_9,0.4842,0.4753,0.7059,0.0196,0.0382,-0.0165,0.2543
0_Mean,0.4808,0.4826,0.6941,0.02,0.0388,-0.0113,0.2799
0_SD,0.0351,0.0336,0.0723,0.0019,0.0037,0.022,0.0284
Mean,0.4808,0.4826,0.6941,0.02,0.0388,-0.0113,0.2799
SD,0.0351,0.0336,0.0723,0.0019,0.0037,0.0219,0.0284
