,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7156,0.6748,0.5881,0.52,0.5417,,0.5306,0.1771,0.5965,13,21,11,12
0_1,0.7344,0.7564,0.6325,0.64,0.5714,,0.6038,0.263,0.6316,16,20,12,9
0_2,0.695,0.6428,0.615,0.48,0.6,,0.5333,0.2391,0.6316,12,24,8,13
0_3,0.7313,0.7216,0.6506,0.52,0.65,,0.5778,0.3132,0.6667,13,25,7,12
0_4,0.7325,0.7232,0.6906,0.6,0.6818,,0.6383,0.3886,0.7018,15,25,7,10
0_5,0.7706,0.7061,0.6638,0.64,0.6154,,0.6275,0.3263,0.6667,16,22,10,9
0_6,0.7256,0.7051,0.615,0.48,0.6,,0.5333,0.2391,0.6316,12,24,8,13
0_7,0.7741,0.7121,0.7135,0.5833,0.7368,,0.6512,0.4464,0.7321,14,27,5,10
0_8,0.6934,0.6972,0.6146,0.5417,0.5652,,0.5532,0.2305,0.625,13,22,10,11
0_9,0.8359,0.8202,0.776,0.7083,0.7727,,0.7391,0.5594,0.7857,17,27,5,7
0_Mean,0.7408,0.7159,0.656,0.5713,0.6335,,0.5988,0.3183,0.6669,14.1,23.7,8.3,10.6
0_SD,0.0428,0.0474,0.057,0.076,0.0762,,0.0672,0.1168,0.0578,1.7919573407620815,2.4060109910158114,2.4060109910158114,1.9550504398153572
Mean,0.7408,0.716,0.656,0.5713,0.6335,,0.5988,0.3183,0.6669,14.1,23.7,8.3,10.6
SD,0.0428,0.0474,0.057,0.076,0.0761,,0.0672,0.1168,0.0578,1.792,2.406,2.406,1.9551
