,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5753,0.6653,0.3333,0.3333,0.3333,0.3306,0.9945
0_1,0.9616,0.8333,0.6667,1.0,0.8,0.8159,0.9986
0_2,0.9263,0.8333,0.6667,1.0,0.8,0.8159,0.9986
0_3,0.9767,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_4,0.7669,0.4986,0.0,0.0,,-0.0034,0.9932
0_5,0.8131,0.6229,0.25,0.25,0.25,0.2459,0.9918
0_6,0.9115,0.4993,0.0,0.0,,-0.0027,0.9932
0_7,0.5201,0.6243,0.25,0.5,0.3333,0.3511,0.9945
0_8,0.7053,0.4979,0.0,0.0,,-0.0041,0.9918
0_9,0.5434,0.4986,0.0,0.0,,-0.0034,0.9932
0_Mean,0.77,0.624,0.25,0.3583,0.4861,0.2952,0.9945
0_SD,0.1769,0.1308,0.2606,0.3929,0.2477,0.3194,0.0025
Mean,0.77,0.624,0.25,0.3583,0.4861,0.2952,0.9945
SD,0.1769,0.1308,0.2606,0.3929,0.2478,0.3194,0.0025
