,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.9171,0.6705,0.8027,0.6154,0.5,,0.5517,0.5467,0.984,8,790,8,5
0_1,0.8414,0.6268,0.8071,0.6154,0.8889,,0.7273,0.7363,0.9926,8,797,1,5
0_2,0.8568,0.7128,0.8802,0.7692,0.5882,,0.6667,0.6667,0.9877,10,791,7,3
0_3,0.8867,0.7585,0.8731,0.75,0.75,,0.75,0.7462,0.9926,9,795,3,3
0_4,0.8675,0.5269,0.7462,0.5,0.5,,0.5,0.4925,0.9852,6,792,6,6
0_5,0.8847,0.7749,0.8809,0.7692,0.625,,0.6897,0.6879,0.9889,10,791,6,3
0_6,0.832,0.48,0.727,0.4615,0.5,,0.48,0.4723,0.984,6,791,6,7
0_7,0.7513,0.488,0.7301,0.4615,0.8571,,0.6,0.6249,0.9901,6,796,1,7
0_8,0.8441,0.5879,0.8046,0.6154,0.6154,,0.6154,0.6091,0.9877,8,792,5,5
0_9,0.8006,0.618,0.8052,0.6154,0.6667,,0.64,0.6349,0.9889,8,793,4,5
0_Mean,0.8482,0.6244,0.8057,0.6173,0.6491,,0.6221,0.6217,0.9882,7.9,792.8,4.7,4.9
0_SD,0.0471,0.1059,0.0589,0.1184,0.1427,,0.0912,0.0943,0.0031,1.5238839267549948,2.3944379994757297,2.406010991015812,1.5238839267549948
Mean,0.8482,0.6244,0.8057,0.6173,0.6491,,0.6221,0.6217,0.9882,7.9,792.8,4.7,4.9
SD,0.0471,0.1059,0.0589,0.1184,0.1427,,0.0912,0.0943,0.0031,1.5239,2.3944,2.406,1.5239
