,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7857,0.2019,0.5611,0.125,0.3333,,0.1818,0.1989,0.9877,1,722,2,7
0_1,0.6168,0.0147,0.4993,0.0,0.0,,,-0.0039,0.9877,0,723,1,8
0_2,0.7927,0.0999,0.4979,0.0,0.0,,,-0.0067,0.985,0,721,3,8
0_3,0.7114,0.1003,0.4986,0.0,0.0,,,-0.0055,0.9863,0,722,2,8
0_4,0.6771,0.1293,0.6229,0.25,0.4,,0.3077,0.3103,0.9877,2,721,3,6
0_5,0.7557,0.0743,0.5577,0.125,0.125,,0.125,0.1153,0.9809,1,717,7,7
0_6,0.6278,0.0503,0.5577,0.125,0.125,,0.125,0.1153,0.9809,1,717,7,7
0_7,0.7656,0.2407,0.6077,0.2222,0.2857,,0.25,0.2438,0.9836,2,718,5,7
0_8,0.7049,0.1337,0.5542,0.1111,0.3333,,0.1667,0.1869,0.9863,1,721,2,8
0_9,0.8895,0.2862,0.6104,0.2222,0.6667,,0.3333,0.3809,0.9891,2,722,1,7
0_Mean,0.7327,0.1331,0.5567,0.1181,0.2269,,0.2128,0.1535,0.9855,1.0,720.4,3.3,7.3
0_SD,0.0826,0.0858,0.0472,0.0949,0.2172,,0.0851,0.1359,0.0029,0.816496580927726,2.2211108331943574,2.263232692902394,0.6749485577105528
Mean,0.7327,0.1331,0.5568,0.118,0.2269,,0.2128,0.1535,0.9855,1.0,720.4,3.3,7.3
SD,0.0826,0.0858,0.0472,0.0949,0.2172,,0.0851,0.1359,0.0029,0.8165,2.2211,2.2632,0.6749
