,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.9659,0.0323,0.5,0.0,,,,0.0,0.9973,0,734,0,2
0_1,0.7037,0.0651,0.4986,0.0,0.0,,,-0.0027,0.9946,0,732,2,2
0_2,0.6945,0.0336,0.4993,0.0,0.0,,,-0.0019,0.9959,0,733,1,2
0_3,0.4046,0.0007,0.4993,0.0,0.0,,,-0.0014,0.9973,0,733,1,1
0_4,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1,734,0,0
0_5,0.406,0.0007,0.5,0.0,,,,0.0,0.9986,0,734,0,1
0_6,0.692,0.0134,0.4993,0.0,0.0,,,-0.0019,0.9959,0,732,1,2
0_7,0.6299,0.0041,0.4993,0.0,0.0,,,-0.0019,0.9959,0,732,1,2
0_8,0.9717,0.517,0.7493,0.5,0.5,,0.5,0.4986,0.9973,1,732,1,1
0_9,0.912,0.0231,0.4993,0.0,0.0,,,-0.0019,0.9959,0,732,1,2
0_Mean,0.738,0.169,0.5745,0.15,0.1875,,0.75,0.1487,0.9969,0.2,732.8,0.8,1.5
0_SD,0.222,0.3315,0.1689,0.3375,0.372,,0.3536,0.3379,0.0016,0.42163702135578396,0.9189365834726815,0.6324555320336759,0.7071067811865476
Mean,0.738,0.169,0.5744,0.15,0.1875,,0.75,0.1487,0.9969,0.2,732.8,0.8,1.5
SD,0.222,0.3315,0.1689,0.3375,0.372,,0.3536,0.3379,0.0016,0.4216,0.9189,0.6325,0.7071
