,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8248,0.1768,0.5519,0.1176,0.1538,,0.1333,0.1184,0.968,2,785,11,15
0_1,0.6012,0.0503,0.5281,0.0625,0.1667,,0.0909,0.0912,0.9754,1,791,5,15
0_2,0.6374,0.1721,0.5856,0.1875,0.1875,,0.1875,0.1712,0.968,3,783,13,13
0_3,0.5972,0.1003,0.5562,0.125,0.1667,,0.1429,0.1295,0.9704,2,786,10,14
0_4,0.6038,0.1263,0.5562,0.125,0.1667,,0.1429,0.1295,0.9704,2,786,10,14
0_5,0.5095,0.0687,0.5594,0.125,0.2857,,0.1739,0.1785,0.9766,2,791,5,14
0_6,0.6925,0.1229,0.5563,0.1176,0.3333,,0.1739,0.1883,0.9766,2,791,4,15
0_7,0.6251,0.0906,0.5263,0.0588,0.1667,,0.087,0.0878,0.9741,1,790,5,16
0_8,0.6925,0.1538,0.6401,0.2941,0.3125,,0.303,0.2887,0.9717,5,784,11,12
0_9,0.6953,0.1727,0.5819,0.1765,0.2308,,0.2,0.1869,0.9704,3,785,10,14
0_Mean,0.6479,0.1234,0.5642,0.139,0.217,,0.1635,0.157,0.9722,2.3,787.2,8.4,14.2
0_SD,0.0843,0.0454,0.0327,0.068,0.0688,,0.0619,0.0596,0.0033,1.1595018087284057,3.190262963734773,3.272783388968954,1.1352924243950935
Mean,0.6479,0.1234,0.5642,0.139,0.217,,0.1635,0.157,0.9722,2.3,787.2,8.4,14.2
SD,0.0843,0.0454,0.0327,0.068,0.0688,,0.0619,0.0596,0.0033,1.1595,3.1903,3.2728,1.1353
