,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7198,0.626,0.3571,0.266,0.3049,0.2215,0.843
0_1,0.644,0.5822,0.3,0.1909,0.2333,0.1353,0.8099
0_2,0.6939,0.5849,0.2857,0.2083,0.241,0.148,0.8264
0_3,0.6806,0.5998,0.3429,0.2034,0.2553,0.1597,0.8072
0_4,0.6586,0.612,0.3429,0.2353,0.2791,0.1902,0.8292
0_5,0.7025,0.5988,0.3333,0.2054,0.2541,0.1605,0.8138
0_6,0.6381,0.5691,0.2464,0.1932,0.2166,0.1241,0.8303
0_7,0.6653,0.6111,0.3429,0.233,0.2775,0.188,0.8276
0_8,0.675,0.5831,0.3143,0.1849,0.2328,0.1325,0.8
0_9,0.6988,0.618,0.3429,0.2553,0.2927,0.2075,0.84
0_Mean,0.6777,0.5985,0.3208,0.2176,0.2587,0.1667,0.8227
0_SD,0.0265,0.0184,0.0344,0.0281,0.0288,0.0335,0.0143
Mean,0.6777,0.5985,0.3208,0.2176,0.2587,0.1667,0.8227
SD,0.0265,0.0184,0.0344,0.0281,0.0289,0.0335,0.0143
