,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6877,0.5026,0.7374,0.4839,0.6818,,0.566,0.5605,0.9716,15,773,7,16
0_1,0.745,0.5312,0.7497,0.5161,0.5517,,0.5333,0.5157,0.9655,16,767,13,15
0_2,0.8279,0.5721,0.7523,0.5161,0.64,,0.5714,0.5597,0.9704,16,771,9,15
0_3,0.7316,0.5529,0.7671,0.5484,0.6071,,0.5763,0.5611,0.9692,17,769,11,14
0_4,0.8436,0.5807,0.7678,0.5484,0.6296,,0.5862,0.5724,0.9704,17,770,10,14
0_5,0.7217,0.3892,0.6704,0.3548,0.5,,0.4151,0.4022,0.9618,11,769,11,20
0_6,0.7638,0.5184,0.7497,0.5161,0.5517,,0.5333,0.5157,0.9655,16,767,13,15
0_7,0.6674,0.3985,0.6878,0.4,0.3871,,0.3934,0.3698,0.9543,12,761,19,18
0_8,0.7894,0.5068,0.751,0.5161,0.5926,,0.5517,0.5365,0.9679,16,768,11,15
0_9,0.7431,0.5232,0.7504,0.5161,0.5714,,0.5424,0.5259,0.9667,16,767,12,15
0_Mean,0.7521,0.5075,0.7384,0.4916,0.5713,,0.5269,0.512,0.9663,15.2,768.2,11.6,15.7
0_SD,0.0562,0.0653,0.0327,0.0638,0.0829,,0.0673,0.0698,0.0051,2.043961295567452,3.190262963734773,3.1692971530679235,1.8885620632287057
Mean,0.7521,0.5076,0.7384,0.4916,0.5713,,0.5269,0.512,0.9663,15.2,768.2,11.6,15.7
SD,0.0562,0.0653,0.0327,0.0638,0.0829,,0.0673,0.0697,0.0051,2.044,3.1903,3.1693,1.8886
