,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7586,0.5009,0.754,0.5294,0.3462,,0.4186,0.4131,0.9692,9,778,17,8
0_1,0.706,0.3792,0.6639,0.3529,0.2308,,0.2791,0.2666,0.9618,6,775,20,11
0_2,0.7218,0.3151,0.6449,0.3125,0.2174,,0.2564,0.2428,0.9642,5,777,18,11
0_3,0.7024,0.4162,0.6883,0.4118,0.2,,0.2692,0.2654,0.9531,7,766,28,10
0_4,0.9074,0.461,0.7252,0.4706,0.3333,,0.3902,0.3808,0.9692,8,778,16,9
0_5,0.8104,0.3343,0.6964,0.4118,0.3182,,0.359,0.3464,0.9692,7,779,15,10
0_6,0.7622,0.3432,0.6977,0.4118,0.35,,0.3784,0.3652,0.9716,7,781,13,10
0_7,0.7563,0.4062,0.7202,0.4706,0.25,,0.3265,0.324,0.9593,8,770,24,9
0_8,0.8275,0.5078,0.7546,0.5294,0.36,,0.4286,0.4221,0.9704,9,778,16,8
0_9,0.7874,0.3978,0.6983,0.4118,0.3684,,0.3889,0.3757,0.9729,7,782,12,10
0_Mean,0.774,0.4062,0.7044,0.4312,0.2974,,0.3495,0.3402,0.9661,7.3,776.4,17.9,9.6
0_SD,0.0626,0.0672,0.0354,0.07,0.0653,,0.063,0.0636,0.0063,1.2516655570345725,4.926120853842978,4.931756504757937,1.0749676997731399
Mean,0.774,0.4062,0.7044,0.4313,0.2974,,0.3495,0.3402,0.9661,7.3,776.4,17.9,9.6
SD,0.0627,0.0672,0.0354,0.07,0.0653,,0.063,0.0636,0.0063,1.2517,4.9261,4.9318,1.075
