,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8365,0.0077,0.5,0.0,,,,0.0,0.9973,0,734,0,2
0_1,0.876,0.0293,0.5,0.0,,,,0.0,0.9973,0,734,0,2
0_2,0.2711,0.0009,0.498,0.0,0.0,,,-0.0024,0.9946,0,731,3,1
0_3,0.9714,0.0227,0.5,0.0,,,,0.0,0.9986,0,734,0,1
0_4,0.9973,0.1667,0.4993,0.0,0.0,,,-0.0014,0.9973,0,733,1,1
0_5,0.9693,0.1001,0.5,0.0,,,,0.0,0.9973,0,733,0,2
0_6,0.7995,0.0136,0.4973,0.0,0.0,,,-0.0039,0.9918,0,729,4,2
0_7,0.927,0.017,0.4959,0.0,0.0,,,-0.0047,0.9891,0,727,6,2
0_8,0.9072,0.0681,0.5,0.0,,,,0.0,0.9973,0,733,0,2
0_9,0.9584,0.049,0.4986,0.0,0.0,,,-0.0027,0.9946,0,731,2,2
0_Mean,0.8514,0.0475,0.4989,0.0,0.0,,,-0.0015,0.9955,0.0,731.9,1.6,1.7
0_SD,0.2135,0.0518,0.0014,0.0,0.0,,,0.0018,0.003,0.0,2.378141197564929,2.118699810942761,0.4830458915396479
Mean,0.8514,0.0475,0.4989,0.0,0.0,,,-0.0015,0.9955,0.0,731.9,1.6,1.7
SD,0.2135,0.0518,0.0014,0.0,0.0,,,0.0018,0.003,0.0,2.3781,2.1187,0.483
