,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5188,0.4947,0.5375,0.7,0.5833,,0.6364,0.0791,0.5556,7,3,5,3
0_1,0.3875,0.427,0.425,0.6,0.5,,0.5455,-0.1581,0.4444,6,2,6,4
0_2,0.725,0.8278,0.6625,0.7,0.7,,0.7,0.325,0.6667,7,5,3,3
0_3,0.7143,0.8021,0.6688,0.9091,0.7143,,0.8,0.3959,0.7222,10,3,4,1
0_4,0.8571,0.8823,0.8571,1.0,0.8462,,0.9167,0.7774,0.8889,11,5,2,0
0_5,0.7,0.8079,0.6143,0.8,0.6667,,0.7273,0.2469,0.6471,8,3,4,2
0_6,0.5214,0.7319,0.45,0.9,0.5625,,0.6923,-0.2092,0.5294,9,0,7,1
0_7,0.4714,0.4856,0.4214,0.7,0.5385,,0.6087,-0.1823,0.4706,7,1,6,3
0_8,0.6429,0.7442,0.5643,0.7,0.6364,,0.6667,0.1324,0.5882,7,3,4,3
0_9,0.6571,0.7649,0.6143,0.8,0.6667,,0.7273,0.2469,0.6471,8,3,4,2
0_Mean,0.6196,0.6968,0.5815,0.7809,0.6414,,0.7021,0.1654,0.616,8.0,2.8,4.5,2.2
0_SD,0.1416,0.1638,0.1341,0.1239,0.1012,,0.1032,0.3057,0.1303,1.5634719199411433,1.5491933384829668,1.509230856356236,1.2292725943057183
Mean,0.6196,0.6968,0.5815,0.7809,0.6415,,0.7021,0.1654,0.616,8.0,2.8,4.5,2.2
SD,0.1416,0.1638,0.1341,0.1239,0.1012,,0.1032,0.3057,0.1303,1.5635,1.5492,1.5092,1.2293
