,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6244,0.2049,0.5651,0.3333,0.0419,,0.0745,0.0512,0.7849,7,628,160,14
0_1,0.6683,0.2132,0.6429,0.4762,0.0625,,0.1105,0.1141,0.801,10,638,150,11
0_2,0.695,0.2843,0.6598,0.5,0.0719,,0.1257,0.1327,0.8109,11,645,142,11
0_3,0.619,0.1124,0.5698,0.2857,0.0496,,0.0845,0.0622,0.8391,6,672,115,15
0_4,0.6447,0.2068,0.5869,0.381,0.0468,,0.0833,0.0677,0.7822,8,624,163,13
0_5,0.6092,0.2091,0.6279,0.4286,0.0621,,0.1084,0.106,0.8168,9,651,136,12
0_6,0.7037,0.2684,0.6717,0.5238,0.0719,,0.1264,0.1394,0.8119,11,645,142,10
0_7,0.775,0.3046,0.6936,0.5714,0.0764,,0.1348,0.1557,0.8094,12,642,145,9
0_8,0.7314,0.2745,0.7212,0.619,0.0855,,0.1503,0.1801,0.8181,13,648,139,8
0_9,0.7028,0.2445,0.6911,0.5714,0.0745,,0.1319,0.1522,0.8045,12,638,149,9
0_Mean,0.6774,0.2323,0.643,0.469,0.0643,,0.113,0.1161,0.8079,9.9,643.1,144.1,11.2
0_SD,0.0539,0.0556,0.0547,0.11,0.0143,,0.0253,0.0439,0.0164,2.330951164939612,13.228336588131135,13.4035650315711,2.2997584414213788
Mean,0.6773,0.2323,0.643,0.469,0.0643,,0.113,0.1161,0.8079,9.9,643.1,144.1,11.2
SD,0.0539,0.0556,0.0547,0.11,0.0143,,0.0253,0.0439,0.0164,2.331,13.2283,13.4036,2.2998
