,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6966,0.7093,0.5,0.0635,0.1127,0.1552,0.9141
0_1,0.7578,0.7656,0.625,0.0685,0.1235,0.1843,0.9031
0_2,0.6185,0.5829,0.25,0.0317,0.0563,0.0615,0.9086
0_3,0.7795,0.778,0.625,0.0909,0.1587,0.2193,0.9277
0_4,0.5755,0.5816,0.25,0.0308,0.0548,0.0596,0.9059
0_5,0.7729,0.7787,0.625,0.0926,0.1613,0.2217,0.9291
0_6,0.6409,0.6503,0.375,0.0526,0.0923,0.1166,0.9195
0_7,0.4872,0.4538,0.0,0.0,,-0.0333,0.8977
0_8,0.8901,0.8281,0.75,0.0811,0.1463,0.2263,0.9045
0_9,0.7241,0.7232,0.5556,0.0595,0.1075,0.1543,0.8868
0_Mean,0.6943,0.6851,0.4556,0.0571,0.1126,0.1365,0.9097
0_SD,0.1166,0.1165,0.2317,0.0294,0.0398,0.0856,0.0132
Mean,0.6943,0.6852,0.4556,0.0571,0.1126,0.1366,0.9097
SD,0.1166,0.1165,0.2317,0.0294,0.0398,0.0856,0.0132
