,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7896,0.8116,0.75,0.0612,0.1132,0.1903,0.8719
0_1,0.4716,0.4991,0.125,0.0108,0.0198,-0.0005,0.8651
0_2,0.6234,0.64,0.375,0.0417,0.075,0.0977,0.8992
0_3,0.702,0.7059,0.5,0.0588,0.1053,0.1475,0.9074
0_4,0.6343,0.6407,0.375,0.0423,0.0759,0.0988,0.9005
0_5,0.6882,0.6414,0.375,0.0429,0.0769,0.0999,0.9019
0_6,0.684,0.6365,0.375,0.039,0.0706,0.0925,0.8924
0_7,0.7628,0.6156,0.3333,0.039,0.0698,0.0831,0.891
0_8,0.5441,0.5073,0.1111,0.0141,0.025,0.0054,0.8937
0_9,0.5474,0.5121,0.1111,0.0156,0.0274,0.0094,0.9033
0_Mean,0.6447,0.621,0.3431,0.0365,0.0659,0.0824,0.8926
0_SD,0.101,0.097,0.1971,0.0177,0.0323,0.0623,0.0138
Mean,0.6447,0.621,0.343,0.0365,0.0659,0.0824,0.8926
SD,0.101,0.097,0.1971,0.0177,0.0323,0.0623,0.0138
