,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7611,0.3315,0.7244,0.619,0.097,,0.1677,0.1938,0.8238,13,590,121,8
0_1,0.8149,0.3482,0.7902,0.7619,0.1103,,0.1928,0.2431,0.8169,16,582,129,5
0_2,0.6409,0.1894,0.6114,0.3636,0.0741,,0.1231,0.1073,0.8443,8,610,100,14
0_3,0.8343,0.3942,0.8309,0.8182,0.1395,,0.2384,0.2966,0.8429,18,599,111,4
0_4,0.8014,0.3312,0.6847,0.5455,0.0876,,0.1509,0.1617,0.8156,12,585,125,10
0_5,0.7229,0.2622,0.7278,0.619,0.1008,,0.1733,0.1997,0.8304,13,594,116,8
0_6,0.6839,0.2477,0.676,0.5238,0.0827,,0.1429,0.1524,0.8194,11,588,122,10
0_7,0.7084,0.2748,0.6921,0.5714,0.0828,,0.1446,0.1609,0.8057,12,577,133,9
0_8,0.7498,0.2605,0.6809,0.5238,0.0873,,0.1497,0.16,0.829,11,595,115,10
0_9,0.7776,0.3268,0.7516,0.6667,0.1077,,0.1854,0.2199,0.8317,14,594,116,7
0_Mean,0.7495,0.2966,0.717,0.6013,0.097,,0.1669,0.1895,0.826,12.8,591.4,118.8,8.5
0_SD,0.0611,0.06,0.0628,0.1292,0.0189,,0.0329,0.0537,0.0122,2.780887148615228,9.311880106139204,9.449279807947741,2.8382310609877335
Mean,0.7495,0.2966,0.717,0.6013,0.097,,0.1669,0.1895,0.826,12.8,591.4,118.8,8.5
SD,0.0611,0.06,0.0628,0.1292,0.0189,,0.0328,0.0537,0.0122,2.7809,9.3119,9.4493,2.8382
