,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7217,0.3228,0.6707,0.6327,0.123,,0.206,0.1759,0.7042,31,538,221,18
0_1,0.6887,0.3559,0.6744,0.6531,0.1217,,0.2051,0.1776,0.6931,32,528,231,17
0_2,0.7521,0.373,0.6988,0.6875,0.1304,,0.2193,0.2027,0.7088,33,539,220,15
0_3,0.6358,0.2331,0.5771,0.4375,0.089,,0.1479,0.0802,0.7001,21,544,215,27
0_4,0.6338,0.2737,0.5914,0.4792,0.0927,,0.1554,0.0937,0.6902,23,534,225,25
0_5,0.703,0.3325,0.6786,0.6458,0.124,,0.2081,0.1828,0.7076,31,540,219,17
0_6,0.7087,0.3546,0.6954,0.7083,0.1236,,0.2105,0.195,0.684,34,518,241,14
0_7,0.6846,0.2961,0.6558,0.5714,0.1244,,0.2044,0.1659,0.7299,28,561,197,21
0_8,0.7666,0.3903,0.7117,0.7347,0.1324,,0.2243,0.2139,0.6914,36,522,236,13
0_9,0.6874,0.2906,0.6574,0.6327,0.114,,0.1931,0.159,0.6791,31,517,241,18
0_Mean,0.6982,0.3223,0.6611,0.6183,0.1175,,0.1974,0.1647,0.6988,30.0,534.1,224.6,18.5
0_SD,0.0431,0.0489,0.0443,0.0961,0.0149,,0.0256,0.0443,0.0147,4.737556801183965,13.461467643281363,13.451146171733221,4.576510072581994
Mean,0.6982,0.3223,0.6611,0.6183,0.1175,,0.1974,0.1647,0.6988,30.0,534.1,224.6,18.5
SD,0.0431,0.0489,0.0443,0.0961,0.0149,,0.0256,0.0442,0.0147,4.7376,13.4615,13.4511,4.5765
