,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7625,0.7234,0.5455,0.0706,0.125,0.1687,0.8966
0_1,0.7414,0.7007,0.5,0.0595,0.1064,0.1454,0.8964
0_2,0.7561,0.7588,0.6,0.0833,0.1463,0.2008,0.9137
0_3,0.8073,0.8088,0.7,0.0959,0.1687,0.2381,0.9149
0_4,0.7782,0.6994,0.5,0.0581,0.1042,0.143,0.894
0_5,0.7572,0.7526,0.6,0.0732,0.1304,0.1849,0.9014
0_6,0.8106,0.7638,0.6364,0.0745,0.1333,0.1906,0.8878
0_7,0.7153,0.7265,0.5455,0.075,0.1319,0.1757,0.9026
0_8,0.7588,0.7601,0.6364,0.07,0.1261,0.183,0.8804
0_9,0.7642,0.7215,0.5455,0.0682,0.1212,0.1647,0.8927
0_Mean,0.7652,0.7416,0.5809,0.0728,0.1294,0.1795,0.898
0_SD,0.0284,0.0336,0.0649,0.0109,0.0186,0.0277,0.0107
Mean,0.7652,0.7416,0.5809,0.0728,0.1294,0.1795,0.898
SD,0.0284,0.0336,0.0649,0.0109,0.0186,0.0277,0.0107
