,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6942,0.2389,0.689,0.5263,0.0787,,0.137,0.1574,0.8441,10,672,117,9
0_1,0.7516,0.2614,0.715,0.6,0.0822,,0.1446,0.1736,0.8243,12,654,134,8
0_2,0.7747,0.3494,0.72,0.6316,0.0736,,0.1319,0.1662,0.8042,12,637,151,7
0_3,0.7008,0.2054,0.6794,0.5263,0.0704,,0.1242,0.1429,0.8253,10,656,132,9
0_4,0.7291,0.2709,0.694,0.5263,0.084,,0.1449,0.1659,0.8538,10,679,109,9
0_5,0.6656,0.2266,0.589,0.3684,0.0446,,0.0795,0.0682,0.7993,7,638,150,12
0_6,0.5485,0.1345,0.5485,0.2632,0.0368,,0.0645,0.0393,0.8203,5,657,131,14
0_7,0.7473,0.2463,0.7102,0.5789,0.0809,,0.1419,0.1702,0.8352,11,663,125,8
0_8,0.6328,0.1414,0.5672,0.3158,0.0403,,0.0714,0.0525,0.8067,6,645,143,13
0_9,0.6676,0.2569,0.6525,0.4737,0.0634,,0.1118,0.1214,0.8228,9,655,133,10
0_Mean,0.6912,0.2332,0.6565,0.4811,0.0655,,0.1152,0.1258,0.8236,9.2,655.6,132.5,9.9
0_SD,0.0669,0.0628,0.0646,0.1248,0.0183,,0.0317,0.0527,0.0174,2.440400695696417,13.517067400553683,13.385315336840842,2.330951164939612
Mean,0.6912,0.2332,0.6565,0.4811,0.0655,,0.1152,0.1258,0.8236,9.2,655.6,132.5,9.9
SD,0.0669,0.0628,0.0646,0.1247,0.0183,,0.0317,0.0527,0.0174,2.4404,13.5171,13.3853,2.331
