,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7706,0.3353,0.7173,0.6,0.1034,,0.1765,0.196,0.8274,15,656,130,10
0_1,0.8596,0.4329,0.7754,0.72,0.1192,,0.2045,0.2446,0.8274,18,653,133,7
0_2,0.8048,0.283,0.7948,0.76,0.1242,,0.2135,0.2604,0.8274,19,652,134,6
0_3,0.7807,0.3465,0.7173,0.6,0.1034,,0.1765,0.196,0.8274,15,656,130,10
0_4,0.8005,0.3422,0.7259,0.64,0.0976,,0.1693,0.1944,0.8064,16,638,148,9
0_5,0.7399,0.2956,0.7259,0.64,0.0976,,0.1693,0.1944,0.8064,16,638,148,9
0_6,0.843,0.4621,0.7948,0.76,0.1242,,0.2135,0.2604,0.8274,19,652,134,6
0_7,0.855,0.4034,0.8018,0.7692,0.1333,,0.2273,0.2739,0.8323,20,655,130,6
0_8,0.8573,0.4708,0.8178,0.8,0.1342,,0.2299,0.2838,0.8346,20,656,129,5
0_9,0.7762,0.4756,0.6861,0.52,0.1008,,0.1688,0.1759,0.842,13,669,116,12
0_Mean,0.8088,0.3847,0.7557,0.6809,0.1138,,0.1949,0.228,0.8259,17.1,652.5,133.2,8.0
0_SD,0.0427,0.0733,0.0459,0.0933,0.0147,,0.0252,0.0403,0.0113,2.4244128727957577,9.046177830074607,9.330952077181978,2.309401076758503
Mean,0.8088,0.3847,0.7557,0.6809,0.1138,,0.1949,0.228,0.8259,17.1,652.5,133.2,8.0
SD,0.0427,0.0733,0.0459,0.0933,0.0147,,0.0252,0.0403,0.0113,2.4244,9.0462,9.331,2.3094
