,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7184,0.3678,0.7432,0.6774,0.1235,,0.209,0.2291,0.8039,21,631,149,10
0_1,0.7885,0.3883,0.7233,0.6774,0.1045,,0.181,0.1984,0.7657,21,600,180,10
0_2,0.8046,0.3575,0.7323,0.6774,0.1123,,0.1927,0.2115,0.783,21,614,166,10
0_3,0.8141,0.4957,0.7336,0.6774,0.1135,,0.1944,0.2135,0.7855,21,616,164,10
0_4,0.8833,0.4709,0.7711,0.7742,0.1171,,0.2034,0.2392,0.7682,24,599,181,7
0_5,0.7219,0.2634,0.6684,0.5484,0.0934,,0.1596,0.1548,0.7793,17,615,165,14
0_6,0.7634,0.4623,0.7246,0.6774,0.1055,,0.1826,0.2002,0.7682,21,602,178,10
0_7,0.6671,0.1593,0.6391,0.5,0.0798,,0.1376,0.1245,0.7679,15,607,173,15
0_8,0.7561,0.3382,0.6844,0.5806,0.0984,,0.1682,0.1692,0.7802,18,614,165,13
0_9,0.7556,0.2785,0.7077,0.6452,0.1005,,0.1739,0.1851,0.7654,20,600,179,11
0_Mean,0.7673,0.3582,0.7128,0.6435,0.1048,,0.1802,0.1925,0.7767,19.9,609.8,170.0,11.0
0_SD,0.0599,0.1047,0.0389,0.0792,0.0127,,0.0215,0.0351,0.0122,2.5582111805799856,10.152175464730043,10.099504938362077,2.3570226039551585
Mean,0.7673,0.3582,0.7128,0.6435,0.1048,,0.1802,0.1926,0.7767,19.9,609.8,170.0,11.0
SD,0.0599,0.1047,0.0389,0.0792,0.0127,,0.0215,0.0351,0.0122,2.5582,10.1522,10.0995,2.357
