,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6478,0.0211,0.6678,0.4,0.037,,0.0678,0.1054,0.9323,2,756,52,3
0_1,0.9614,0.1594,0.8722,0.8,0.0816,,0.1481,0.2445,0.9434,4,763,45,1
0_2,0.7384,0.0376,0.5653,0.2,0.0175,,0.0323,0.04,0.9262,1,752,56,4
0_3,0.7292,0.0201,0.6629,0.4,0.0323,,0.0597,0.096,0.9225,2,748,60,3
0_4,0.4757,0.0094,0.5796,0.2,0.0294,,0.0513,0.0622,0.9545,1,775,33,4
0_5,0.8146,0.0613,0.6678,0.4,0.037,,0.0678,0.1054,0.9323,2,756,52,3
0_6,0.9173,0.05,0.8678,0.8,0.0714,,0.1311,0.2271,0.9348,4,756,52,1
0_7,0.827,0.0483,0.7703,0.6,0.0588,,0.1071,0.1743,0.9385,3,760,48,2
0_8,0.9115,0.0398,0.7184,0.5,0.0377,,0.0702,0.1238,0.9347,2,757,51,2
0_9,0.8025,0.0276,0.6709,0.4,0.0408,,0.0741,0.1123,0.9384,2,760,47,3
0_Mean,0.7825,0.0475,0.7043,0.47,0.0444,,0.081,0.1291,0.9358,2.3,758.3,49.6,2.6
0_SD,0.1442,0.0424,0.1053,0.2111,0.02,,0.0364,0.0666,0.0089,1.0593499054713802,7.227263198011633,7.260241808033057,1.07496769977314
Mean,0.7825,0.0475,0.7043,0.47,0.0444,,0.081,0.1291,0.9358,2.3,758.3,49.6,2.6
SD,0.1443,0.0424,0.1053,0.2111,0.02,,0.0364,0.0666,0.0089,1.0593,7.2273,7.2602,1.075
