,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8919,0.6104,0.7776,0.6667,0.0825,,0.1468,0.2066,0.8853,8,710,89,4
0_1,0.8142,0.4442,0.8389,0.7692,0.1205,,0.2083,0.2808,0.9063,10,725,73,3
0_2,0.7479,0.426,0.7992,0.6923,0.1071,,0.1856,0.2466,0.9026,9,723,75,4
0_3,0.8575,0.4882,0.8263,0.7692,0.0971,,0.1724,0.2462,0.8816,10,705,93,3
0_4,0.8325,0.2446,0.8023,0.6923,0.1139,,0.1957,0.2561,0.9088,9,728,70,4
0_5,0.7918,0.4508,0.8017,0.6923,0.1125,,0.1935,0.2541,0.9075,9,727,71,4
0_6,0.7985,0.223,0.7563,0.6154,0.0889,,0.1553,0.205,0.8927,8,716,82,5
0_7,0.7848,0.4058,0.8098,0.6923,0.1343,,0.225,0.2827,0.9236,9,740,58,4
0_8,0.8828,0.238,0.7854,0.6923,0.0849,,0.1513,0.2127,0.8755,9,701,97,4
0_9,0.7707,0.2259,0.7472,0.5833,0.0897,,0.1556,0.2025,0.9062,7,727,71,5
0_Mean,0.8173,0.3757,0.7945,0.6865,0.1031,,0.1789,0.2393,0.899,8.8,720.2,77.9,4.0
0_SD,0.048,0.1347,0.0287,0.0577,0.0172,,0.0268,0.0308,0.0148,0.9189365834726815,12.007405122580723,12.10555428076073,0.6666666666666666
Mean,0.8173,0.3757,0.7945,0.6865,0.1031,,0.179,0.2393,0.899,8.8,720.2,77.9,4.0
SD,0.048,0.1347,0.0287,0.0577,0.0172,,0.0268,0.0308,0.0148,0.9189,12.0074,12.1056,0.6667
