,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6,0.5523,0.65,0.8,0.6667,,0.7273,0.3162,0.6667,8,4,4,2
0_1,0.3,0.4335,0.375,0.5,0.4545,,0.4762,-0.2548,0.3889,5,2,6,5
0_2,0.5625,0.6887,0.5,0.5,0.5556,,0.5263,0.0,0.5,5,4,4,5
0_3,0.6234,0.6942,0.5519,0.8182,0.6429,,0.72,0.1218,0.6111,9,2,5,2
0_4,0.9091,0.9483,0.8377,0.8182,0.9,,0.8571,0.6625,0.8333,9,6,1,2
0_5,0.7714,0.8544,0.7071,0.7,0.7778,,0.7368,0.4085,0.7059,7,5,2,3
0_6,0.5714,0.6863,0.4214,0.7,0.5385,,0.6087,-0.1823,0.4706,7,1,6,3
0_7,0.3571,0.5549,0.3429,0.4,0.4444,,0.4211,-0.3099,0.3529,4,2,5,6
0_8,0.6286,0.7268,0.5857,0.6,0.6667,,0.6316,0.169,0.5882,6,4,3,4
0_9,0.4571,0.5361,0.4214,0.7,0.5385,,0.6087,-0.1823,0.4706,7,1,6,3
0_Mean,0.5781,0.6676,0.5393,0.6536,0.6185,,0.6314,0.0749,0.5588,6.7,3.1,4.2,3.5
0_SD,0.1805,0.1552,0.1587,0.1477,0.1429,,0.1331,0.3198,0.15,1.7029386365926402,1.728840330651992,1.7511900715418263,1.4337208778404378
Mean,0.5781,0.6676,0.5393,0.6536,0.6186,,0.6314,0.0749,0.5588,6.7,3.1,4.2,3.5
SD,0.1805,0.1552,0.1587,0.1477,0.1429,,0.1331,0.3198,0.15,1.7029,1.7288,1.7512,1.4337
