,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6846,0.1426,0.6175,0.2857,0.1304,,0.1791,0.1613,0.932,6,748,40,15
0_1,0.6746,0.1304,0.6607,0.381,0.1455,,0.2105,0.203,0.9258,8,741,47,13
0_2,0.6731,0.1299,0.5939,0.2273,0.1389,,0.1724,0.1482,0.9407,5,756,31,17
0_3,0.5905,0.1102,0.5711,0.1905,0.0952,,0.127,0.1019,0.9319,4,749,38,17
0_4,0.6186,0.0743,0.5816,0.2381,0.0781,,0.1176,0.0961,0.9072,5,728,59,16
0_5,0.6633,0.0901,0.6006,0.2381,0.1471,,0.1818,0.1595,0.9443,5,758,29,16
0_6,0.7469,0.1161,0.647,0.3333,0.1842,,0.2373,0.2209,0.9443,7,756,31,14
0_7,0.8399,0.3352,0.7209,0.4762,0.2703,,0.3448,0.3363,0.953,10,760,27,11
0_8,0.7342,0.1944,0.6876,0.4286,0.1765,,0.25,0.2455,0.9332,9,745,42,12
0_9,0.6773,0.165,0.6213,0.2857,0.15,,0.1967,0.1779,0.9394,6,753,34,15
0_Mean,0.6903,0.1488,0.6302,0.3084,0.1516,,0.2017,0.1851,0.9352,6.5,749.4,37.8,14.6
0_SD,0.07,0.0741,0.0483,0.0942,0.0527,,0.0655,0.0712,0.0126,1.9578900207451218,9.640193635676273,9.761602782785667,2.065591117977289
Mean,0.6903,0.1488,0.6302,0.3084,0.1516,,0.2017,0.1851,0.9352,6.5,749.4,37.8,14.6
SD,0.07,0.0741,0.0483,0.0942,0.0527,,0.0655,0.0712,0.0126,1.9579,9.6402,9.7616,2.0656
